,ShoeName,URL,no_colors,price_reduce,price,Category
22,Nike Dunk Low Twist,https://www.nike.com/t/dunk-low-twist-womens-shoes-TsSP0p/DZ2794-700,4 Colors,"$106.97
$125
14% off",$125,Women
23,Nike Phoenix Waffle,https://www.nike.com/t/phoenix-waffle-womens-shoes-CDl2fm/FD2196-100,3 Colors,$100,$100,Women
24,Nike TC 7900,https://www.nike.com/t/tc-7900-womens-shoes-ZsbDW9/DD9682-102,2 Colors,"$90.97
$120
24% off",$120,Women
25,Nike V2K Run,https://www.nike.com/t/v2k-run-womens-shoes-nRRH5X/FD0736-101,3 Colors,$110,$110,Women
26,"Air Jordan 4 Craft ""Olive""",https://www.nike.com/t/air-jordan-4-craft-olive-mens-shoes-GmXFz0/FB9927-200,1 Color,$210,$210,Women
27,Nike Vaporfly 3,https://www.nike.com/t/vaporfly-3-womens-road-racing-shoes-4jJ4vQ/FV3634-181,4 Colors,$260,$260,Women
28,Nike Vomero 17,https://www.nike.com/t/w-vomero-17-XBlwsP/FB8502-100,6 Colors,$160,$160,Women
29,Nike Air Max 90,https://www.nike.com/t/air-max-90-womens-shoes-2ZsM2w/FB8455-001,13 Colors,"$119.97
$140
14% off",$140,Women
30,Nike Dunk Low,https://www.nike.com/t/dunk-low-womens-shoes-Zg780j/FQ8876-618,1 Color,"$97.97
$115
14% off",$115,Women
31,Nike Air Max 90 Futura,https://www.nike.com/t/air-max-90-futura-womens-shoes-kvRZ4h/DM9922-002,8 Colors,$150,$150,Women
32,Nike Dunk High,https://www.nike.com/t/dunk-high-womens-shoes-LwCxXJ/DD1869-103,2 Colors,$130,$130,Women
33,Nike Pegasus Shield,https://www.nike.com/t/pegasus-shield-womens-weatherized-road-running-shoes-dXsmXn/DO7626-001,3 Colors,$145,$145,Women
34,Nike Winflo 10,https://www.nike.com/t/wio-10-womens-road-running-shoes-TVcjsT/DV4023-001,10 Colors,$105,$105,Women
35,Nike Motiva,https://www.nike.com/t/motiva-womens-walking-shoes-ZfZQm6/DV1238-001,4 Colors,$110,$110,Women
36,Nike Free RN NN,https://www.nike.com/t/free-rn-nn-womens-road-running-shoes-XkgH7L/DX6482-002,5 Colors,$110,$110,Women
37,Nike In-Season TR 13 PRM,https://www.nike.com/t/in-season-tr-13-prm-womens-workout-shoes-WzrbTx/FB7147-001,7 Colors,"$76.97
$90
14% off",$90,Women
38,Nike SuperRep Go 3 NN PRM,https://www.nike.com/t/superrep-go-3-nn-prm-womens-hiit-class-shoes-hSZBdX/FB7156-001,12 Colors,"$97.97
$115
14% off",$115,Women
39,Nike Court Vision Alta,https://www.nike.com/t/court-vision-alta-womens-shoes-TbljXk/DM0113-102,4 Colors,"$67.97
$90
24% off",$90,Women
40,Nike Waffle Debut,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-100,5 Colors,"$63.97
$75
14% off",$75,Women
41,Nike Pegasus Trail 4,https://www.nike.com/t/pegasus-trail-4-womens-trail-running-shoes-CQT261/DJ6159-002,9 Colors,"$105.97
$140
24% off",$140,Women
42,Nike InfinityRN 4 GORE-TEX,https://www.nike.com/t/infinityrn-4-gore-tex-womens-waterproof-road-running-shoes-QwxP9x/FB2197-600,4 Colors,$180,$180,Women
43,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-100,5 Colors,$115,$115,Women
44,Nike Air Force 1 Shadow,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/CI0919-100,14 Colors,$135,$135,Women
45,Nike Pegasus Trail 4 GORE-TEX,https://www.nike.com/t/pegasus-trail-4-gore-tex-womens-waterproof-trail-running-shoes-9knDsQ/DJ7929-001,10 Colors,$160,$160,Women
46,Nike Alphafly 2,https://www.nike.com/t/alphafly-2-womens-road-racing-shoes-6grcms/DN3559-003,4 Colors,$285,$285,Women
47,Nike Blazer Low Platform,https://www.nike.com/t/blazer-low-platform-womens-shoes-X8Nl4M/DJ0292-101,4 Colors,$100,$100,Women
