,count_of_sizes,colors,product_code,reviews,quality
97,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']",['Style: 393764_03'],['Reviews (1)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],[]
98,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Icy Blue-Ultra Blue', 'Ash Gray-PUMA White-Yellow Burst-Vivid Violet']",['Style: 377540_05'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
99,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']",['Style: 393764_02'],['Reviews (1)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],[]
100,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black-Strawberry Burst-Yellow Blaze'],['Style: 378454_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
101,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']",['Style: 376169_10'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['80.0']
102,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",['Style: 377746_01'],['Reviews (1)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
103,"['5.5', '6', '6.5', '7', '7.5', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15.5']",['Ultra Orange-PUMA Black'],['Style: 378096_02'],['Reviews (2)Average: 3.5 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
104,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",['Style: 377746_03'],['Reviews (1)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
105,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']",['Persian Blue-PUMA White-Pro Green'],['Style: 107356_03'],['Reviews (8)Average: 1.6 / 5Write A ReviewRead All ReviewsRead All'],['12.5']
106,"['5.5', '6', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Warm White-Bright Melon'],['Style: 379114_01'],['Reviews (1)Average: 2.0 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
107,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black-Cool Dark Gray-PUMA Silver'],['Style: 378791_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
108,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']",['Style: 377316_07'],['Reviews (4)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
109,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black-Fire Orchid'],['Style: 377063_04'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
110,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']",['Style: 377855_01'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
111,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Astro Red-Fire Orchid-PUMA Black'],['Style: 377839_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
