,ShoeName,URL,no_colors,price_reduce,price,Category
21,Mayze Women's SneakersPuma Black-Puma White,/us/en/pd/mayze-womens-sneakers/380784?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$90.00,Women
22,Pulsar Wedge Cat Logo Women's SneakersWhisper White-ARUBA BLUE,/us/en/pd/pulsar-wedge-cat-logo-womens-sneakers/392710?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$110.00,Women
23,RS-X Soft Women's SneakersFrosty Pink-Ravish-Pearl Pink,/us/en/pd/rs-x-soft-womens-sneakers/393772?swatch=05&referrer-category=womens-shop-all-womens,2 Colors,-,$110.00,Women
24,PUMA x SWAROVSKI Suede Women's SneakersPUMA Black,/us/en/pd/puma-x-swarovski-suede-womens-sneakers/396352?swatch=02&referrer-category=womens-shop-all-womens,1 Color,-,$100.00,Women
25,Roma Classic Gum SneakersPuma Black-Puma Team Gold,/us/en/pd/roma-classic-gum-sneakers/366408?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$70.00,Women
26,Suede Classic XXI Women's SneakersGranola-Warm White,/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=90&referrer-category=womens-shop-all-womens,6 Colors,-,$75.00,Women
27,RS-X Soft Women's SneakersFrosty Pink-Warm White,/us/en/pd/rs-x-soft-womens-sneakers/393772?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$110.00,Women
28,ForeverRun NITRO™ Knit Women's Running ShoesPUMA White-Feather Gray,/us/en/pd/foreverrun-nitro%E2%84%A2-knit-womens-running-shoes/379140?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$150.00,Women
29,Mayze Women's SneakersPuma White-Peyote,/us/en/pd/mayze-womens-sneakers/381983?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
30,FENTY x PUMA AVANTI L Women's SneakersClub Navy,/us/en/pd/fenty-x-puma-avanti-l-womens-sneakers/399262?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$160.00,Women
31,Slipstream Iridescent Women's Sneaker Iridescent-PUMA White,/us/en/pd/slipstream-iridescent-womens-sneaker%C2%A0/392886?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$90.00,Women
32,Blacktop Rider Glimmer Women's SneakersFrosted Ivory-Warm White-Cashew,/us/en/pd/blacktop-rider-glimmer-womens-sneakers/397090?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$90.00,Women
33,CA Pro Suede Nubuck SneakersSedate Gray-PUMA White,/us/en/pd/ca-pro-suede-nubuck-sneakers/396704?swatch=02&referrer-category=womens-shop-all-womens,1 Color,-,$100.00,Women
34,Cali Wedge Tonal Women's SneakersPristine-Marshmallow,/us/en/pd/cali-wedge-tonal-womens-sneakers/385248?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$90.00,Women
35,CA Pro Classic Women's SneakersPuma White,/us/en/pd/ca-pro-classic-womens-sneakers/396172?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$80.00,Women
36,Mayze Stack Soft Winter Women's SneakersWarm White,/us/en/pd/mayze-stack-soft-winter-womens-sneakers/393065?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$110.00,Women
37,PUMA Cali Court Leather Women's SneakersPUMA White-PUMA White-PUMA Gold,/us/en/pd/puma-cali-court-leather-womens-sneakers/393802?swatch=09&referrer-category=womens-shop-all-womens,2 Colors,-,$85.00,Women
38,Magnify NITRO™ 2 Women's Running ShoesIcy Blue-Ultra Blue,/us/en/pd/magnify-nitro%E2%84%A2-2-womens-running-shoes/377540?swatch=04&referrer-category=womens-shop-all-womens,2 Colors,-,$140.00,Women
39,Cali Dream West Coast Leather Women's SneakersPUMA Black-PUMA White,/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=08&referrer-category=womens-shop-all-womens,4 Colors,-,$90.00,Women
40,Palermo Women's SneakersFresh Mint-Fast Pink,/us/en/pd/palermo-womens-sneakers/397643?swatch=02&referrer-category=womens-shop-all-womens,2 Colors,-,$90.00,Women
41,Dinara Women's BootsPUMA Black,/us/en/pd/dinara-womens-boots/394786?swatch=01&referrer-category=womens-shop-all-womens,2 Colors,-,$100.00,Women
42,PUMA x LAUREN LONDON RS-Trck SneakersPUMA White-Pristine,/us/en/pd/puma-x-lauren-london-rs-trck-sneakers/392086?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$130.00,Women
43,Cali Dream Women's SneakersPuma White-Puma Black-Gray Violet,/us/en/pd/cali-dream-womens-sneakers/383112?swatch=04&referrer-category=womens-shop-all-womens,1 Color,-,$90.00,Women
44,Electrify NITRO™ 3 Women's Running ShoesPUMA Black-PUMA Silver,/us/en/pd/electrify-nitro%E2%84%A2-3-womens-running-shoes/378456?swatch=01&referrer-category=womens-shop-all-womens,3 Colors,-,$100.00,Women
45,PUMA Cali Court Patent Women's SneakersPUMA White,/us/en/pd/puma-cali-court-patent-womens-sneakers/394755?swatch=02&referrer-category=womens-shop-all-womens,1 Color,-,$85.00,Women
46,Mayze Stack Luxe Women's SneakersPUMA White-Warm White-Dark Jasper,/us/en/pd/mayze-stack-luxe-womens-sneakers/389853?swatch=06&referrer-category=womens-shop-all-womens,2 Colors,-,$95.00,Women
47,Cali Dream West Coast Leather Women's SneakersPUMA Black,/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=02&referrer-category=womens-shop-all-womens,4 Colors,-,$90.00,Women
48,Mayze Stack Injex Women's SandalsPUMA Black,/us/en/pd/mayze-stack-injex-womens-sandals/389454?swatch=04&referrer-category=womens-shop-all-womens,2 Colors,-,$60.00,Women
49,RS-X Reinvent Women's SneakersDark Jasper-Warm White,/us/en/pd/rs-x-reinvent-womens-sneakers/371008?swatch=27&referrer-category=womens-shop-all-womens,1 Color,-,$110.00,Women
50,Velocity NITRO™ 2 Women’s Running ShoesFire Orchid-Ultra Blue,/us/en/pd/velocity-nitro%E2%84%A2-2-women%E2%80%99s-running-shoes/376262?swatch=21&referrer-category=womens-shop-all-womens,1 Color,-,$120.00,Women
51,SEASONS Voyage NITRO™ 3 Women's Running ShoesEucalyptus-Alpine Snow-PUMA Black,/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=04&referrer-category=womens-shop-all-womens,5 Colors,-,$140.00,Women
52,STEWIE x WATER Stewie 2 Women's Basketball ShoesLight Aqua-PUMA White,/us/en/pd/stewie-x-water-stewie-2-womens-basketball-shoes/378318?swatch=02&referrer-category=womens-shop-all-womens,1 Color,-,$125.00,Women
53,Voltaic Evo Women's Running ShoeSugared Almond-PUMA Gold,/us/en/pd/voltaic-evo-womens-running-shoe/309720?swatch=04&referrer-category=womens-shop-all-womens,1 Color,-,$80.00,Women
54,Cali Dream West Coast Leather Women's SneakersPUMA White-PUMA Black,/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=04&referrer-category=womens-shop-all-womens,4 Colors,-,$90.00,Women
55,PUMA x BLACK FIVES All-Pro NITRO™ Basketball ShoesPUMA Navy,/us/en/pd/puma-x-black-fives-all-pro-nitro%E2%84%A2-basketball-shoes/379886?swatch=01&referrer-category=womens-shop-all-womens,1 Color,-,$140.00,Women
56,ForeverRUN NITRO™ Women's Running ShoesFire Orchid-PUMA Black-PUMA Silver,/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/377758?swatch=09&referrer-category=womens-shop-all-womens,2 Colors,-,$150.00,Women
