,product_code,count_of_sizes,colors
72,DZ2786-400,3,"['Blue Tint/Blue Tint/Blue Tint', 'Vachetta Tan/White', 'Pearl Pink/Gum Light Brown/Pearl Pink']"
73,DC9486-100,7,"['White/Black/Metallic Silver/White', 'White/White/Metallic Silver/Doll', 'White/Black/Metallic Silver/Pale Coral', 'White/White/Arctic Orange']"
74,FQ8893-397,8,['Pro Green/Sail/Gum Medium Brown/Black']
75,DV1302-100,2,"['Black/Light Smoke Grey/Sail/Metallic Silver', 'Bleached Turquoise/Barely Green/Sail/Sky J Teal', 'Muslin/Celestial Gold/Sail/Desert', 'Coconut Milk/Black/Sail/Sport Spice', 'Team Red/Sail/Muslin/University Red', 'Purple Smoke/White/Purple Smoke']"
76,FV3623-151,2,['White/White/Blue Tint/Rush Fuchsia']
77,DV1143-800,6,"['Enamel Green/Summit White/Pro Green/Enamel Green', 'Arctic Orange/Summit White/Orange Blaze/Arctic Orange']"
78,CZ0596-010,8,"['Rush Fuchsia/Pearl Pink/Volt/Black', 'Black/Black/Volt/White', 'Doll/Worn Blue/Light Marine/Black', 'Black/Mica Green/Cosmic Fuchsia/Noise Aqua']"
79,DC3729-003,11,"['Black/Dark Smoke Grey/Cool Grey/White', 'White/Pink Glaze/Polar/Hydrogen Blue', 'Light Violet/White/Champagne']"
80,DX2931-400,4,"['Plum Eclipse/Coconut Milk/Gum Medium Brown/Sail', 'Adobe/Coconut Milk/Gum Medium Brown/Sail', 'Stadium Green/Sail/Coconut Milk/Opti Yellow', 'Game Royal/White/Sail/Summit White']"
81,DV1305-001,8,"['Cacao Wow/Black/Hyper Pink/Picante Red', 'Pine Green/Muslin/Black/Orange Blaze', 'Light Iron Ore/Black/Coconut Milk/Neutral Grey', 'Citron Tint/Muslin/Sky J Teal/Dynamic Yellow', 'Muslin/Blackened Blue/Coconut Milk/Black']"
82,DQ8426-106,8,"['Black/Black/White/Royal Blue', 'University Blue/White/Black', 'White/Black/Gym Red']"
83,DZ7338-001,3,"['Wolf Grey/University Red/White/College Navy', 'Sail/White/Metallic Gold/Blue Jay', 'Malachite/Sail/Metallic Gold/Brown Basalt', 'White/White/White/White']"
84,DJ9946-100,14,"['White/Pink Blast/Clear Jade/White', 'White/Sail/Volt/Oil Green', 'White/Opti Yellow/Action Green/Pearl Pink', 'White/Medium Soft Pink/Barely Volt/Baltic Blue', 'Barely Green/Velvet Brown/Mint Foam/Enamel Green', 'Pink Oxford/White/Light Soft Pink', 'White/White/White/Summit White', 'Black/White/Black/Anthracite']"
85,BQ3207-002,12,['Black/Anthracite/White']
86,942837-001,15,"['White/Black', 'Wolf Grey/White/Volt/White', 'Black/White']"
87,DV0991-101,2,['White/White/Black']
88,DH3159-100,5,['White/White/White']
89,FB9892-670,5,"['Pale Vanilla/Coconut Milk/Sail/Metallic Gold', 'Red Stardust/White/Sail/Metallic Copper']"
90,FD5130-200,3,"['Hemp/Hemp', 'Oil Green/Oil Green']"
91,553558-136,5,"['Black/Black/Black', 'White/White/White', 'Black/Lucky Green/White/Black', 'Palomino/White/Wild Berry']"
92,554724-136,12,"['Black/Black/Black', 'White/White/White', 'Gym Red/White/Black']"
93,DZ5485-105,15,['White/White/Sky J Mauve']
94,FD6819-300,9,['Sky J Light Olive/Celadon/Bright Mandarin/Black']
95,DQ4122-100,3,"['Black/University Red/Bright Concord/White', 'Black/University Red/Dark Grey/Metallic Gold', 'Lapis/Black/Crimson Bliss/Saturn Gold', 'White/Siren Red/Black']"
96,CZ4052-101,10,"['Black/Sequoia/Crimson Pulse/Metallic Silver', 'Black/Dark Obsidian/White', 'Clear Emerald/Wild Berry/White/Hyper Pink', 'Black/Anthracite/Volt/Black', 'Black/Deep Royal Blue/Blackened Blue/Siren Red', 'Summit White/Light Bone/Aura/Metallic Pewter', 'White/Melon Tint/Pink Blast/Light Lemon Twist', 'Coconut Milk/Vapor Green/Citron Tint/Polarized Blue']"
97,DV1307-100,8,"['Sail/Royal Pulse/Light Silver/Alpha Orange', 'Summit White/Light Silver/Sail/Particle Grey', 'Muslin/Black/Vivid Orange/Celestial Gold', 'Cement Grey/University Blue/White', 'White/Black/Honeydew/Vapor Green', 'Light Orewood Brown/Sail/Celestial Gold/Bright Citrus', 'Bleached Aqua/Black/White/Bright Citrus', 'Palomino/Wild Berry/Desert/Melon Tint']"
98,DX4332-800,3,['Magic Ember/White/Black/Sundial']
99,314870-011,8,['Black/White']
100,FN6622-201,15,['Praline/Sail/White']
101,414571-171,20,['White/Wheat']
102,FD1334-001,12,['Black/Metallic Silver/Gunsmoke']
103,DB2889-501,14,"['Sky J Purple/Honeycomb/Sail/Shimmer', 'Black/Bright Mandarin/Sail/Sky J Light Olive']"
104,CT8532-080,9,"['Night Stadium/Black/Flat Pewter/Total Orange', 'White/Cement Grey/Black/Midnight Navy']"
105,FZ4653-900,15,['Multi-Color/Multi-Color']
106,DZ5485-042,20,['Black/White/Royal Blue/Royal Blue']
107,FV0169-400,5,"['Lagoon Pulse/Psychic Purple/White/Pink Blast', 'White/Black/Green Strike/Total Orange', 'Black/Wolf Grey/Anthracite/Metallic Silver']"
108,DO7189-100,7,"['White/Baltic Blue/Action Grape/Siren Red', 'Barely Volt/Black/Volt/Hyper Pink', 'White/Light Liquid Lime/Pink Blast/Black', 'Black/White/Metallic Gold']"
