,count_of_sizes,colors,product_code,quality,n_reviews,star_rating
158,9,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']",376169_12,80.0,6,4.5
159,19,['Frosted Ivory-Eggnog'],394174_01,,0,0.0
160,9,['PUMA White-Icy Blue'],387468_06,,0,0.0
161,0,[],377892_10,93.3,17,4.8
162,12,['Puma Black-Gold'],195027_02,,88,4.5
163,12,"['Puma Black', 'Taffy']",382829_01,62.5,24,4.0
164,9,['PUMA White-Frosted Ivory-Puma Team Gold'],392699_01,100.0,3,5.0
165,12,['PUMA White-Peach Smoothie-Flaxen'],396073_01,50.0,2,3.0
166,12,['Feather Gray-Warm White'],394750_02,66.7,6,4.3
167,12,"['Puma Black', 'Taffy']",382829_04,62.5,24,4.0
168,19,['Inky Blue-PUMA Black-Sand Dune'],396672_01,,0,0.0
169,12,['Hot Heat-Frosted Ivory'],392514_01,50.0,3,2.3
170,12,['Puma White-Metallic Gold'],191667_02,93.8,50,4.8
171,10,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",381410_85,82.3,160,4.2
172,5,"['PUMA Black-PUMA Black', 'Pristine-Pristine']",389082_01,72.7,12,3.5
173,12,['Island Pink-PUMA White'],393771_01,,0,0.0
174,12,"['Chocolate Chip', 'PUMA Black']",393201_03,100.0,1,5.0
175,12,['PUMA Black'],393085_01,100.0,2,5.0
176,12,"['Warm White-Granola', 'Ash Gray-Frosted Ivory']",393031_02,,0,0.0
177,12,"['Warm White-Granola', 'Ash Gray-Frosted Ivory']",393031_01,,0,0.0
178,12,['Parisian Night-Pristine-Warm Earth'],393343_01,80.0,5,4.0
179,12,"['Chocolate Chip', 'PUMA Black']",393201_02,100.0,1,5.0
180,11,['PUMA White-Warm White-Pearl Pink'],389876_02,,4,5.0
181,12,['Puma White-Nimbus Cloud'],387150_01,,1,4.0
182,12,['Ghost Pepper-Frosty Pink'],393987_01,,0,0.0
183,13,"['PUMA White-PUMA Black-Fire Orchid', 'Ultra Blue-PUMA White-Pro Green']",107507_01,0.0,2,3.0
184,13,['PUMA White-PUMA Black-Fast Yellow-Electric Peppermint'],107262_02,,0,0.0
185,11,['Warm White-PUMA White'],389844_01,100.0,5,4.4
186,12,['Warm White-PUMA Black'],394885_01,,0,0.0
187,12,['PUMA Black-Hot Heat'],395480_01,100.0,1,5.0
