,count_of_sizes,colors,color,product_code
21,"['36', '37', '38', '39', '40', '41']",['WHITE_PURPLE'],['WHITE/PURPLE'],['FLC0IA0AR992A']
22,"['36', '37', '38', '39', '40', '41']",['CAMEL'],['CAMEL'],['FLC051016461A']
23,"['36', '37', '38', '39', '40']","['LBLUE', 'RUST']",['LBLUE'],['FLC0310T9022A']
24,"['36', '37', '38', '39', '40', '41']","['BLACK', 'GREY']",['BLACK'],['FLC0H40R1952A']
25,"['38', '39', '40', '41']","['GREY', 'BLUE']",['GREY'],['FLC0310T9062A']
26,"['36', '37', '38', '39', '40', '41']","['PURPLE_GREY', 'BEIGE_PURPLE']",['PURPLE/GREY'],['FLC0510R1962A']
27,"['36', '37', '38', '39', '40', '41']","['NAVY', 'WINE_RED']",['NAVY'],['FLC0H40S7582A']
28,"['36', '37', '38', '39', '40', '41']","['RED', 'BLUE']",['RED'],['FLC0260U2632A']
29,"['36', '37', '38', '39', '40', '41']","['DBLUE', 'LBEIGE']",['DBLUE'],['FLC0AI027271A']
30,"['36', '37', '38', '39', '40', '41']","['PINK', 'GREY']",['PINK'],['FLC0H40T3272A']
31,"['36', '37', '38', '39', '40', '41']","['GREY', 'BLUE']",['GREY'],['FLC0310T9032A']
32,"['36', '37', '38', '39', '40', '41']","['GREY', 'BLUE']",['GREY'],['FLC0H40S7602A']
33,"['36', '37', '38', '39', '40', '41']","['RUST_BROWN', 'BLACK']",['RUST BROWN'],['FLC0AR028921A']
34,"['36', '37', '38', '39', '40', '41']","['BLACK', 'DROYAL_BLUE']",['BLACK'],['FLC0H9025631B']
35,"['36', '37', '38', '39', '40', '41']",['BLUE'],['BLUE'],['FLC0150S0142A']
36,"['36', '37', '38', '39', '40', '41']",['BLUE'],['BLUE'],['FLC0180T0952A']
37,"['36', '37', '38', '39']",['WHITE'],['WHITE'],['FLC0310V3382A']
38,"['36', '37', '38', '39', '40', '41']","['BLUE', 'OWHITE', 'BLACK']",['BLUE'],['FLC0BA025011A']
39,"['36', '37', '38', '39', '40']","['BLACK', 'WHITE_BLACK']",['BLACK'],['FLC0H40U6372A']
40,"['36', '37', '38', '39', '40', '41']",['PINK'],['PINK'],['FLC0H40T0772A']
41,"['36', '37', '38', '39', '40', '41']",['WHITE_RED'],['WHITE/RED'],['FLC0180U6602A']
42,"['37', '38', '39', '40', '41']","['BLUE', 'GREY']",['BLUE'],['FLC0H40S7592A']
43,"['36', '37', '38', '39', '40', '41']",['PURPLE'],['PURPLE'],['FLC0H40T0782A']
44,"['36', '37', '38', '39', '40', '41']",['LPINK'],['LPINK'],['FLC0510T0802A']
45,"['36', '37', '38']","['BLACK', 'LBEIGE', 'NAVY']",['BLACK'],['FLC0AI025371B']
46,[],"['BEIGE', 'PINK', 'BLACK']",['BEIGE'],['FLC0R9025031A']
