,count_of_sizes,colors,product_code,star_rating,Size,comfort,quality,n_reviews,yes_recommendations,%_recommended
14,15,"['White/Coral Chalk/Metallic Silver/Court Purple', 'Sail/Sail/Blue Whisper/Medium Soft Pink', 'White/Vivid Sulfur/Pure Platinum/Vivid Purple', 'Fierce Pink/Pink Spell/Pink Blast/Fireberry', 'Ashen Slate/Diffused Blue/Football Grey/Metallic Gold', 'Pink Foam/Pearl Pink/Pink Glow/White', 'Jade Ice/Clear Jade/Malachite/White', 'Racer Blue/Reflective Silver/Polar/Blue Joy', 'Black/Dark Grey/White/White']",DR2660-001,4.4,50.0,85.0,49.44,360.0,48.0,13.33
15,14,"['Black/Metallic Silver/Multi-Color', 'Fierce Pink/Fireberry/Pink Blast/Bright Crimson', 'Light Lemon Twist/White/Barely Volt/Volt', 'Clear Jade/Pink Blast/White/Black', 'Black/Black/Anthracite', 'Oatmeal/Pink Oxford/Sail/Pearl Pink', 'Pale Vanilla/Sail/Sesame/Sea Coral', 'White/Metallic Silver/Metallic Silver/Pure Platinum']",FD3148-001,1,50.0,50.0,50.0,1.0,,
16,15,"['Phantom/Metallic Gold/Sail/Black', 'Light Soft Pink/White/Shimmer', 'White/Jade Ice/Black/Teal Nebula', 'White/Pure Platinum/Black', 'White/White/Metallic Platinum', 'Black/Dark Grey/White', 'Summit White/Light Orewood Brown/University Blue/Wolf Grey']",CD5432-101,4.5,37.0,73.0,37.08,809.0,10.0,1.24
17,15,"['White/White', 'Black/White', 'Pearl Pink/White/Pink Foam', 'Photon Dust/White/Lime Blast/Polar', 'Black/Off Noir']",FB2208-100,4,,,,13.0,,
18,15,"['White/Pure Platinum/Metallic Silver', 'Black/Anthracite/White', 'Light Bone/Sail/Ice Peach/Bright Mandarin']",FD2292-100,4.6,45.0,93.0,71.0,28.0,21.0,75.0
19,20,"['Phantom/Light Orewood Brown/Luminous Green/Phantom', 'Fir/Earth/Deep Royal Blue/Fir', 'Rugged Orange/Black/Campfire Orange/Rugged Orange', 'Wheat Gold/Rugged Orange/Field Purple/Wheat Gold', 'Black/Velvet Brown/Cedar/Black']",FB2348-700,4.5,57.0,86.0,79.61,24.0,23.0,95.83
20,15,"['Anthracite/Black/Light Smoke Grey', 'Monarch/Light Bone/Sail/Black', 'Oil Green/Fir/Coconut Milk/Black', 'White/Summit White/Photon Dust/White', 'Cacao Wow/Bronzine/Black', 'Phantom/Phantom/Light Orewood Brown', 'Light Silver/Sail/Flat Pewter/Mica Green']",DR9761-800,4.3,48.0,89.0,52.24,71.0,14.0,19.72
21,15,"['Red Stardust/Cedar/Black/Deep Jungle', 'White/Light Lemon Twist/Fireberry/Blue Tint', 'Phantom/Black/Sail/Metallic Gold', 'White/Team Orange/Metallic Summit White/Black', 'White/White/Photon Dust/White', 'Amethyst Ash/Ashen Slate/White/Amethyst Wave', 'Fossil Stone/Rose Whisper/White/Pink Oxford', 'White/White/Black', 'Black/Black/White', 'Summit White/Wolf Grey/White/University Blue', 'White/Jade Ice/Black/Light Fusion Red', 'Summit White/Platinum Tint/Hemp/Sail']",FQ8886-100,5,50.0,100.0,83.33,1.0,1.0,100.0
22,15,"['Light Lemon Twist/White/Light Lemon Twist', 'Black/Black/White', 'Coconut Milk/White/Vivid Sulfur', 'Summit White/Jade Ice']",DZ2794-700,4.4,40.0,87.0,55.08,34.0,13.0,38.24
23,15,"['Summit White/Sanddrift/Sail/Black', 'Light Bone/Light Smoke Grey/Light Iron Ore/Rugged Orange', 'Persian Violet/Black/Anthracite/Metallic Silver']",FD2196-100,4.5,58.0,93.0,78.29,31.0,26.0,83.87
24,15,"['Light Orewood Brown/Diffused Taupe/Light Silver/Sail', 'Sail/Black/Sail']",DD9682-102,4.4,34.0,77.0,46.52,21.0,6.0,28.57
25,13,"['White/Photon Dust/Fir/Platinum Tint', 'Black/Anthracite/Dark Smoke Grey', 'Summit White/Pure Platinum/Light Iron Ore/Metallic Silver']",FD0736-101,5,45.0,95.0,59.37,21.0,8.0,38.1
26,9,['Medium Olive/Cargo Khaki/Black/Pale Vanilla'],FB9927-200,4.8,44.0,78.0,71.02,56.0,51.0,91.07
27,11,"['Coconut Milk/Sail/Coconut Milk/Bright Mandarin', 'Black/Black/Oatmeal/Metallic Gold Grain', 'White/Jade Ice/Clear Jade/Deep Jungle', 'White/Particle Grey/Metallic Silver/Dark Smoke Grey']",FV3634-181,0,,,,0.0,,
28,14,"['Polar/Blue Joy/White/Lime Blast', 'Black/Anthracite/White', 'White/Photon Dust/Polar/Lime Blast', 'Diffused Blue/Ashen Slate/White/Metallic Gold']",FB8502-100,4.8,46.0,96.0,79.28,24.0,23.0,95.83
29,9,"['Black/Red Stardust/Cedar/Bronzine', 'White/Black/Multi-Color', 'White/Teal Nebula/Black/Cool Grey', 'White/Summit White/Black/Hemp', 'White/Photon Dust/Metallic Silver', 'White/Photon Dust/Cobalt Bliss/Wolf Grey', 'White/Alabaster/Sail/Citron Pulse', 'Summit White/Pure Platinum/Medium Blue', 'White/Doll/Pure Platinum/Lapis', 'Summit White/Light Bone/Vivid Sulfur/University Blue', 'Black/Black/White', 'White/White/Black', 'White/Medium Soft Pink/Summit White/Sail', 'Barely Rose/Pink Oxford/Black/Summit White']",FB8455-001,5,50.0,75.0,75.0,2.0,2.0,100.0
30,3,['Red Stardust/White/Rugged Orange'],FQ8876-618,5,50.0,59.0,69.67,6.0,6.0,100.0
31,15,"['White/Metallic Silver/Chrome/Platinum Tint', 'Red Stardust/Summit White/Campfire Orange/Rugged Orange', 'Diffused Taupe/Plum Eclipse/Night Maroon/Black', 'Photon Dust/Sail/Tawny/Photon Dust', 'White/Fuchsia Dream/Baltic Blue/Bright Crimson', 'Hemp/Sanddrift/Summit White/White', 'Summit White/Light Bone/Phantom/Summit White', 'Summit White/Mica Green/Light Silver/Summit White', 'Summit White/Barely Rose/Pink Oxford/Light Soft Pink', 'Phantom/Hemp/Sanddrift/Black']",DM9922-002,4.7,40.0,88.0,44.78,126.0,8.0,6.35
32,15,"['White/University Red/Black', 'Pale Vanilla/Sail/Topaz Gold']",DD1869-103,4.8,52.0,88.0,47.89,518.0,19.0,3.67
33,15,"['Pale Ivory/Neutral Olive/Luminous Green/Black', 'Black/Dark Smoke Grey/Volt/White', 'Black/Off Noir/Dark Smoke Grey/Black']",DO7626-001,4,50.0,75.0,44.52,35.0,3.0,8.57
34,15,"['Sail/Sail/Coconut Milk/Buff Gold', 'Light Smoke Grey/Photon Dust/Bright Mandarin/Polar', 'Black/Black/Anthracite/Black', 'White/Black/Emerald Rise', 'White/Photon Dust/Rush Fuchsia/Fuchsia Dream', 'Pearl Pink/Coral Chalk/White/Midnight Navy', 'Pink Foam/Pearl Pink/White', 'White/Pure Platinum/Metallic Silver', 'Black/Black/White', 'White/Citron Pulse/Vivid Orange/Black']",DV4023-001,4.7,47.0,96.0,50.61,136.0,12.0,8.82
35,15,"['Pearl Pink/White', 'Black/Anthracite/White/Black', 'Black/Metallic Gold/White/Fireberry', 'Bright Crimson/Fuchsia Dream/Black/Bright Crimson']",DV1238-001,4.5,46.0,91.0,49.04,227.0,23.0,10.13
36,15,"['Sea Glass/Lime Blast/Coconut Milk/Obsidian', 'Black/Fireberry/Fierce Pink/Metallic Gold', 'Black/Anthracite/White', 'Guava Ice/Vivid Sulfur/White/Earth', 'Pink Foam/Pink Oxford/Platinum Tint/White']",DX6482-002,4.6,52.0,85.0,70.92,33.0,25.0,75.76
37,14,"['Black/Diffused Blue/White/Metallic Red Bronze', 'Luminous Green/Sea Glass/Lime Blast/White', 'Mica Green/Light Silver/Pink Oxford', 'White/Black/Jade Ice/Emerald Rise', 'Black/Iron Grey/White', 'Barely Rose/Pink Oxford/Gum Light Brown/White', 'White/Photon Dust/Picante Red/Black']",FB7147-001,0,,,,0.0,,
38,15,"['Black/Anthracite/Fireberry/Metallic Gold', 'White/Red Stardust/Ember Glow/Guava Ice', 'Black/White/Metallic Silver', 'Plum Eclipse/Violet Dust/Light Orewood Brown/Guava Ice', 'Black/Anthracite/Volt/Vivid Purple', 'Jade Ice/White/Emerald Rise/Black', 'Football Grey/Cobalt Bliss/Hyper Royal/Summit White', 'Desert Berry/Barely Rose/Elemental Pink/Sail', 'White/Luminous Green/Sea Glass/Lime Blast', 'Light Silver/Pale Ivory/Guava Ice/Pink Oxford', 'White/Black/Photon Dust/Picante Red', 'Smokey Mauve/Sail/Platinum Violet/Black']",FB7156-001,0,,,,0.0,,
39,15,"['Black/White', 'Sail/Sail/Diffused Blue', 'Pink Oxford/White/Light Soft Pink/Pink Oxford', 'White/White/White']",DM0113-102,4.3,48.0,52.0,34.72,216.0,9.0,4.17
40,12,"['White/Oil Green/Sea Glass', 'White/Team Orange/Rattan/Sail', 'White/Summit White/White/Blue Tint', 'Black/Orange/Clear/White', 'White/Light Orewood Brown/Sail/Rush Fuchsia', 'White/Black/Orange/White']",DH9523-100,4.7,39.0,90.0,44.55,622.0,29.0,4.66
41,15,"['Pure Platinum/Baltic Blue/Black/Green Abyss', 'Volt/Black/Summit White/Bright Cactus', 'Mantra Orange/Enamel Green/Bicoastal/Ghost Green', 'Light Photo Blue/Track Red/Black/Metallic Silver', 'Deep Jungle/Khaki/Ashen Slate/Night Maroon', 'Black/Dark Grey/Wolf Grey/Aura', 'Platinum Violet/Purple Ink/Fierce Pink/Luminous Green', 'Sequoia/Amber Brown/Emerald Rise/Guava Ice', 'Team Gold/Baltic Blue/Stadium Green/Volt']",DJ6159-002,4.7,44.0,92.0,47.77,315.0,23.0,7.3
42,15,"['Fireberry/Fierce Pink/Bordeaux', 'Ashen Slate/Diffused Blue/Platinum Tint/Metallic Gold', 'Pale Ivory/Summit White/Platinum Tint/Anthracite', 'Black/Volt/Anthracite']",FB2197-600,4.6,41.0,97.0,78.14,28.0,27.0,96.43
43,13,"['White/Action Green', 'White/Game Royal/Sanddrift/Stadium Green', 'Fireberry/Fireberry/Fierce Pink', 'Black/Black/Black/Black', 'White/White/White/White']",DD8959-100,4.8,66.0,81.0,49.47,1855.0,26.0,1.4
44,14,"['Black/Anthracite/Velvet Brown/Black', 'White/Fireberry/Light Lemon Twist/Blue Tint', 'Phantom/Pink Oxford/White/Red Stardust', 'White/Siren Red/Photon Dust/Sundial', 'Summit White/Wolf Grey/Pure Platinum/Sesame', 'Sail/Sea Coral/Indigo Haze/Coral Chalk', 'White/Blue Tint/Pink Spell/Racer Blue', 'White/Team Gold/Pure Platinum/Black', 'Sail/Citron Tint/Pearl White/Light Silver', 'Shimmer/Sanddrift/Pearl White/Mars Stone', 'Sail/Classic Green/University Blue/Multi-Color', 'Sail/Sesame/Black/Multi-Color', 'White/White/White', 'Rush Orange/Guava Ice/White/Black']",CI0919-100,4.8,54.0,88.0,71.0,899.0,,
45,14,"['University Blue/Pink Glow/Gym Red/Safety Orange', 'Pale Ivory/Luminous Green/High Voltage/Neutral Olive', 'Hyper Pink/Team Red/Pink Foam/Burgundy Crush', 'Emerald Rise/Amber Brown/Ember Glow/Sequoia', 'Fireberry/Fierce Pink/Platinum Violet/Purple Ink', 'Black/Reflect Silver/Wolf Grey', 'Deep Jungle/Night Maroon/Ashen Slate/Khaki', 'Black/Light Photo Blue/Track Red/Vivid Sulfur', 'Rosewood/Dark Smoke Grey/Blue Lightning/Pink Spell', 'Black/Light Magenta/Pink Foam/Chlorophyll']",DJ7929-001,4.5,45.0,89.0,48.63,143.0,17.0,11.89
46,13,"['Black/Sail/Metallic Gold Grain', 'White/Clear Jade/Light Ultramarine/Deep Jungle', 'Black/Sea Coral/White/Topaz Gold', 'Hyper Pink/Laser Orange/White/Black', 'Total Orange/Bright Crimson/Ghost Green/Black']",DN3559-003,4.4,36.0,77.0,41.61,152.0,18.0,11.84
47,15,"['Sail/Gum Medium Brown/Tawny/Black', 'White/Sail/Team Orange/Black', 'Sail/Sail/Black/Sail', 'White/Light Lemon Twist/Blue Tint']",DJ0292-101,4.5,,,,333.0,,
48,15,"['Sail/Khaki/White/Cacao Wow', 'White/Sail/Team Orange/University Blue', 'White/Red Stardust/Sail/Cedar', 'Sail/Malachite/Coconut Milk/Gorge Green', 'White/Light Photo Blue/Sail/Black']",DN1791-100,4.5,37.0,84.0,45.01,57.0,8.0,14.04
49,15,"['Khaki/Deep Jungle/Safety Orange/Sea Glass', 'Sequoia/Emerald Rise/Guava Ice/Amber Brown', 'Melon Tint/Sundial/Bright Mandarin/Sail', 'Obsidian/Citron Pulse/Baltic Blue/Volt', 'Purple Ink/Platinum Violet/Luminous Green/Fierce Pink', 'Black/Reflect Silver/Cool Grey/Wolf Grey', 'Black/Track Red/Vivid Sulfur/Light Photo Blue']",DR2694-500,4.6,48.0,88.0,46.29,104.0,3.0,2.88
50,13,"['Black/Deep Jungle/Night Maroon/Sea Glass', 'Mineral/Plum Eclipse/Amber Brown/Sequoia', 'Fireberry/Fierce Pink/Luminous Green/Purple Ink', 'Obsidian/Cool Grey/Baltic Blue/Volt', 'Bright Cactus/Volt/Summit White']",DR2689-601,4.6,51.0,96.0,54.94,73.0,13.0,17.81
51,14,"['Pale Ivory/Sea Glass/Luminous Green/Black', 'Black/Anthracite/Cool Grey', 'Purple Ink/Wolf Grey/Luminous Green/Platinum Violet']",FB2065-500,4.1,38.0,76.0,66.79,22.0,19.0,86.36
52,15,"['Mica Green/Plum Eclipse/Amber Brown/Sequoia', 'Black/White', 'Platinum Violet/Fireberry/Purple Ink/Luminous Green', 'Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange', 'Diffused Taupe/Dark Pony/Sanddrift/Picante Red', 'Black/Vivid Sulfur/Track Red/Light Photo Blue', 'Sundial/Safety Orange/Melon Tint']",DH0625-500,4.8,47.0,95.0,56.25,71.0,19.0,26.76
53,5,"['Rugged Orange/Rugged Orange', 'Black/Black', 'Sail/Sail', 'Sesame/Sesame', 'Jade Ice/Jade Ice']",DX4816-200,4.5,37.0,86.0,53.33,73.0,27.0,36.99
54,15,"['Summit White/Football Grey/Sail/Wolf Grey', 'Sesame/Pale Vanilla/Sail', 'Light Orewood Brown/Phantom/Gum Light Brown/Rush Fuchsia', 'Pink Oxford/White', 'Black/White', 'Sanddrift/Team Gold/Pink Oxford/Earth', 'Light Silver/Ocean Bliss/Pink Oxford/Citron Tint']",DQ8031-201,4.3,46.0,92.0,49.7,108.0,12.0,11.11
55,15,"['Black/Pewter/Metallic Gold', 'Guava Ice/Pink Oxford/Pale Ivory/Light Silver', 'Jade Ice/Mineral/Black/White', 'Coral Chalk/Sail/Oxygen Purple/Black', 'White/Light Smoke Grey/Picante Red/Black', 'Desert Berry/Photon Dust/Light Smoke Grey/White']",FB7154-001,3.5,50.0,50.0,50.0,2.0,1.0,50.0
56,15,"['Luminous Green/Sea Glass/Lime Blast/White', 'Pale Ivory/Guava Ice/Light Silver/Pink Oxford', 'White/Red Stardust/Ember Glow', 'Black/Iron Grey/White']",DM0824-003,4.3,44.0,63.0,38.57,46.0,4.0,8.7
57,15,"['White/Metallic Silver', 'Cedar/Rugged Orange', 'Blue Tint/Light Lemon Twist/Metallic Silver/Fireberry', 'Pink Blast/Black/Clear Jade', 'Pink Spell/Spring Green/Racer Blue/Citron Pulse', 'Fuchsia Dream/Vivid Orange/Baltic Blue/Bright Crimson', 'Hyper Pink/White/Pink Blast/Hyper Pink', 'Guava Ice/Black/Malachite/Rush Orange', 'Black/Anthracite/Black']",FQ8895-100,5,50.0,100.0,83.33,2.0,2.0,100.0
58,15,"['White/Metallic Silver/Sail/Pure Platinum', 'Summit White/Racer Blue/Safety Orange/White', 'White/Pure Platinum/White', 'Hemp/White/Summit White/Black']",FV0952-100,1,50.0,50.0,50.0,1.0,,
59,15,['White/Black/Multi-Color'],FB8251-100,4.6,58.0,88.0,79.44,26.0,24.0,92.31
60,4,"['Black/Anthracite', 'Red Stardust/Adobe', 'Black/White']",FJ6041-600,3.9,25.0,82.0,60.67,8.0,6.0,75.0
61,4,['Black'],560845F-001,4.8,50.0,75.0,41.88,316.0,2.0,0.63
62,3,['White'],560846F-102,4.8,,,,1613.0,,
63,4,"['Blue Tint/White/Disco Purple/Polar', 'White/University Red/Wolf Grey/Obsidian', 'Summit White/Opti Yellow/Sail/White', 'Celestine Blue/Arctic Orange/Teal Tint/Off Noir', 'Pearl Pink/White/Pearl Pink/Coral Chalk', 'Summit White/Bright Mandarin/Action Grape/Black']",FD1448-664,4.9,56.0,84.0,68.89,9.0,6.0,66.67
64,11,"['White/White/White', 'White/Galactic Jade', 'Wolf Grey/Black/White/Gym Red', 'Pure Platinum/White/Sky J Orange', 'Black/Black/White', 'Black/Sail/Gym Red']",DC0774-080,4.8,52.0,80.0,47.08,411.0,38.0,9.25
65,4,"['Brilliant Orange/White/Black', 'White/Sanddrift/Oil Green/Baltic Blue', 'Lucky Green/White/White Onyx/Black', 'Metallic Silver/White/White Onyx/Black', 'Dark Grey/Sail/Varsity Red', 'French Blue/Neutral Grey/Sail/Sport Blue', 'White/Sail/Midnight Navy', 'Black/White/Hyper Royal', 'Cement Grey/White/Varsity Maize', 'White/White/Neutral Grey', 'Stealth/Titanium', 'Sail/Coconut Milk', 'Black/White/Gym Red', 'White/Sail/Dark Beetroot', 'Iced Lilac/Sail/Black', 'Atmosphere/White/Guava Ice/Light Steel Grey']",DH7004-600,4.7,62.0,74.0,50.33,80.0,12.0,15.0
66,3,"['Black/Black/White', 'Sky J Teal/White/Sky J French Blue', 'White/Gym Red/Sail/French Blue', 'Black/Sail/Altitude Green', 'Sail/Desert/Black', 'Lemon Wash/White/Lapis', 'Sky J French Blue/Sail/Ozone Blue', 'Pure Platinum/Sail/Sky J Mauve', 'Black/Aquatone/Sail/Lucky Green', 'Black/College Grey/Sail/Gym Red']",BQ6472-414,4.9,50.0,80.0,44.65,988.0,39.0,3.95
67,13,"['White/White/Medium Olive', 'White/Rose Whisper']",DD1503-118,4.8,49.0,78.0,44.66,617.0,43.0,6.97
68,2,"['Red Stardust/White/Black', 'Sky J French Blue/White/Light Steel Grey', 'Titanium/Sail/Dark Smoke Grey', 'Celestial Gold/White/Sail/Muslin', 'Black/White/Sail/Atmosphere', 'Dark Ash/Sail/Hyper Royal', 'Summit White/Coconut Milk/Varsity Red']",DN3253-061,4.3,47.0,72.0,48.56,60.0,16.0,26.67
69,10,"['White/Black/Sea Coral', 'Cream II/Saturn Gold/White/Cream II', 'White/Light Dew', 'Rust Pink/Canyon Rust/White/Rust Pink']",CW6536-600,4.4,35.0,77.0,43.94,106.0,21.0,19.81
70,15,"['White/New Green/Bright Mango/Black', 'Dark Plum/Court Purple/Black/Metallic Silver', 'White/Pure Platinum/Wolf Grey/Fireberry', 'White/Wolf Grey/Stealth/Obsidian']",511417-136,4.7,42.0,80.0,47.17,82.0,16.0,19.51
71,5,"['Sky J Orange/Sail', 'Celestial Gold/Sail/Muslin', 'Sport Spice/Coconut Milk/Black']",DV0426-200,4.8,45.0,84.0,55.64,29.0,11.0,37.93
72,3,"['Blue Tint/Blue Tint/Blue Tint', 'Vachetta Tan/White', 'Pearl Pink/Gum Light Brown/Pearl Pink']",DZ2786-400,4.3,50.0,93.0,72.67,8.0,6.0,75.0
73,7,"['White/Black/Metallic Silver/White', 'White/White/Metallic Silver/Doll', 'White/Black/Metallic Silver/Pale Coral', 'White/White/Arctic Orange']",DC9486-100,4.8,53.0,79.0,44.53,125.0,2.0,1.6
74,8,['Pro Green/Sail/Gum Medium Brown/Black'],FQ8893-397,5,53.0,80.0,77.67,22.0,22.0,100.0
75,2,"['Black/Light Smoke Grey/Sail/Metallic Silver', 'Bleached Turquoise/Barely Green/Sail/Sky J Teal', 'Muslin/Celestial Gold/Sail/Desert', 'Coconut Milk/Black/Sail/Sport Spice', 'Team Red/Sail/Muslin/University Red', 'Purple Smoke/White/Purple Smoke']",DV1302-100,4.7,,,,54.0,,
76,2,['White/White/Blue Tint/Rush Fuchsia'],FV3623-151,5,50.0,100.0,83.33,2.0,2.0,100.0
77,6,"['Enamel Green/Summit White/Pro Green/Enamel Green', 'Arctic Orange/Summit White/Orange Blaze/Arctic Orange']",DV1143-800,3.9,10.0,54.0,32.2,46.0,15.0,32.61
78,8,"['Rush Fuchsia/Pearl Pink/Volt/Black', 'Black/Black/Volt/White', 'Doll/Worn Blue/Light Marine/Black', 'Black/Mica Green/Cosmic Fuchsia/Noise Aqua']",CZ0596-010,4.6,32.0,89.0,41.91,527.0,25.0,4.74
79,11,"['Black/Dark Smoke Grey/Cool Grey/White', 'White/Pink Glaze/Polar/Hydrogen Blue', 'Light Violet/White/Champagne']",DC3729-003,4.4,28.0,78.0,36.62,491.0,19.0,3.87
80,4,"['Plum Eclipse/Coconut Milk/Gum Medium Brown/Sail', 'Adobe/Coconut Milk/Gum Medium Brown/Sail', 'Stadium Green/Sail/Coconut Milk/Opti Yellow', 'Game Royal/White/Sail/Summit White']",DX2931-400,4.6,43.0,93.0,52.83,40.0,9.0,22.5
81,8,"['Cacao Wow/Black/Hyper Pink/Picante Red', 'Pine Green/Muslin/Black/Orange Blaze', 'Light Iron Ore/Black/Coconut Milk/Neutral Grey', 'Citron Tint/Muslin/Sky J Teal/Dynamic Yellow', 'Muslin/Blackened Blue/Coconut Milk/Black']",DV1305-001,4.3,50.0,83.0,62.43,35.0,19.0,54.29
82,8,"['Black/Black/White/Royal Blue', 'University Blue/White/Black', 'White/Black/Gym Red']",DQ8426-106,4.9,51.0,84.0,54.49,562.0,160.0,28.47
83,3,"['Wolf Grey/University Red/White/College Navy', 'Sail/White/Metallic Gold/Blue Jay', 'Malachite/Sail/Metallic Gold/Brown Basalt', 'White/White/White/White']",DZ7338-001,5,50.0,95.0,52.04,9.0,1.0,11.11
84,14,"['White/Pink Blast/Clear Jade/White', 'White/Sail/Volt/Oil Green', 'White/Opti Yellow/Action Green/Pearl Pink', 'White/Medium Soft Pink/Barely Volt/Baltic Blue', 'Barely Green/Velvet Brown/Mint Foam/Enamel Green', 'Pink Oxford/White/Light Soft Pink', 'White/White/White/Summit White', 'Black/White/Black/Anthracite']",DJ9946-100,4.8,53.0,91.0,49.29,233.0,9.0,3.86
