,ShoeName,URL,no_colors,price_reduce,price,price_,Category
47,Edge Lux 6.0 Shoes,https://www.adidas.com/us/edge-lux-6.0-shoes/ID1953.html,6 colors,$63,$90,-,Women's Training
0,AdiFOM TRXN Shoes,https://www.adidas.com/us/adifom-trxn-shoes/IG7994.html,2 colors,$42,$120,-,Women's Originals
1,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HP9206.html,4 colors,$76,$190,-,Women's Running
2,Defiant Speed Tennis Shoes,https://www.adidas.com/us/defiant-speed-tennis-shoes/HQ8459.html,3 colors,$70,$100,-,Women's Tennis
3,Duramo Speed Running Shoes,https://www.adidas.com/us/duramo-speed-running-shoes/IF8176.html,10 colors,$63,$90,-,Women's Running
4,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/IE7098.html,4 colors,$48,$120,-,Women's Originals
5,Superstar Bonega X Shoes,https://www.adidas.com/us/superstar-bonega-x-shoes/HQ6045.html,-,$75,$125,-,Women's Originals
6,Pureboost 23 Running Shoes,https://www.adidas.com/us/pureboost-23-running-shoes/IF2390.html,4 colors,$56,$140,-,Women's Running
7,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IE9624.html,50 colors,$60,$150,-,Women's Originals
8,Forum Low Shoes,https://www.adidas.com/us/forum-low-shoes/IF2744.html,2 colors,$55,$110,-,Women's Originals
9,ZNSORED Hi Shoes,https://www.adidas.com/us/znsored-hi-shoes/IE9415.html,5 colors,$44,$110,-,WOMEN Sportswear
10,Trae Unlimited Basketball Shoes,https://www.adidas.com/us/trae-unlimited-basketball-shoes/IE0078.html,7 colors,$86,$95,-,WOMEN Basketball
11,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IE9612.html,50 colors,$48,$160,-,Women's Originals
12,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW5694.html,50 colors,$112,$160,-,Women's Originals
13,Nizza Platform Mid Shoes,https://www.adidas.com/us/nizza-platform-mid-shoes/IG5059.html,7 colors,$63,$90,-,Women's Originals
14,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HP2822.html,50 colors,$64,$160,-,Women's Originals
15,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ4964.html,50 colors,$53,$150,-,Women's Originals
16,OZELIA Shoes,https://www.adidas.com/us/ozelia-shoes/IE9534.html,2 colors,$50,$110,-,Women's Originals
17,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG7385.html,15 colors,$52,$80,-,Women's Sportswear
18,Rapidmove Training Shoes,https://www.adidas.com/us/rapidmove-training-shoes/HP3293.html,3 colors,$40,$100,-,Women's Training
19,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IG7347.html,11 colors,$52,$80,-,Women's Essentials
20,NMD_W1 Shoes,https://www.adidas.com/us/nmd_w1-shoes/ID4268.html,10 colors,$64,$160,-,Women's Originals
21,Puremotion Adapt Shoes,https://www.adidas.com/us/puremotion-adapt-shoes/ID4428.html,7 colors,$46,$70,-,Women's Essentials
22,Adilette Aqua Slides,https://www.adidas.com/us/adilette-aqua-slides/F35550.html,11 colors,$20,$28,-,WOMEN Yoga
23,Puremotion 2.0 Shoes,https://www.adidas.com/us/puremotion-2.0-shoes/IG0494.html,5 colors,$68,$75,-,Women's Essentials
24,X Crazyfast.3 Indoor Soccer Shoes,https://www.adidas.com/us/x-crazyfast.3-indoor-soccer-shoes/ID9342.html,"4 colors, Indoor",$86,$95,-,WOMEN Soccer
25,Court Revival Cloudfoam Modern Lifestyle Court Comfort Shoes,https://www.adidas.com/us/court-revival-cloudfoam-modern-lifestyle-court-comfort-shoes/HP2611.html,2 colors,$70,$100,-,Women's Sportswear
26,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF0042.html,11 colors,$32,$80,-,Women's Essentials
27,Superstar Bonega Shoes,https://www.adidas.com/us/superstar-bonega-shoes/HQ9841.html,6 colors,$75,$125,-,Women's Originals
28,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/ID4279.html,2 colors,$75,$125,-,Women's Originals
29,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG7376.html,15 colors,$45,$75,-,Women's Essentials
30,Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/H03619.html,17 colors,$28,$40,-,WOMEN Sportswear
31,Forum Bold Shoes,https://www.adidas.com/us/forum-bold-shoes/HQ1985.html,7 colors,$77,$110,-,Women's Originals
32,Predator Accuracy.3 Turf Soccer Shoes,https://www.adidas.com/us/predator-accuracy.3-turf-soccer-shoes/GZ0004.html,"4 colors, Turf",$81,$90,-,WOMEN Soccer
33,Cloudfoam Pure 2.0 Shoes,https://www.adidas.com/us/cloudfoam-pure-2.0-shoes/HP6237.html,10 colors,$60,$75,-,Women's Sportswear
34,Crazyflight Shoes,https://www.adidas.com/us/crazyflight-shoes/HR0634.html,6 colors,$98,$140,-,Women's Volleyball
35,Y-3 Ultraboost 22,https://www.adidas.com/us/y-3-ultraboost-22/HR1980.html,-,$198,$330,-,WOMEN Y-3
36,Predator Accuracy+ Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy-plus-firm-ground-soccer-cleats/GW4559.html,"3 colors, Firm Ground",$210,$280,-,WOMEN Soccer
37,AdiFOM TRXN Shoes,https://www.adidas.com/us/adifom-trxn-shoes/IG7993.html,2 colors,$54,$120,-,Women's Originals
38,Y-3 Ajatu Run,https://www.adidas.com/us/y-3-ajatu-run/HR1936.html,3 colors,$210,$350,-,WOMEN Y-3
39,Matchbreak Super Shoes,https://www.adidas.com/us/matchbreak-super-shoes/EG2740.html,8 colors,$46,$70,-,WOMEN Originals
40,Duramo Speed Running Shoes,https://www.adidas.com/us/duramo-speed-running-shoes/IE9678.html,10 colors,$63,$90,-,Women's Running
41,Rivalry 86 Low Shoes,https://www.adidas.com/us/rivalry-86-low-shoes/IF5183.html,2 colors,$84,$120,-,Women's Originals
42,Supernova 3 Running Shoes,https://www.adidas.com/us/supernova-3-running-shoes/HQ1805.html,3 colors,$65,$100,-,Women's Running
43,TERREX Swift R3 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-gore-tex-hiking-shoes/HP8714.html,4 colors,$128,$160,-,Women's TERREX
44,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/IG5934.html,4 colors,$108,$120,-,Women's Originals
45,Duramo SL Running Shoes,https://www.adidas.com/us/duramo-sl-running-shoes/IF7885.html,7 colors,$49,$70,-,Women's Running
46,Disney NMD_R1 Shoes,https://www.adidas.com/us/disney-nmd_r1-shoes/GV7909.html,-,$112,$160,-,Women's Originals
47,Runfalcon 3 Running Shoes,https://www.adidas.com/us/runfalcon-3-running-shoes/HP7555.html,10 colors,$26,$65,-,Women's Running
0,Y-3 Slides,https://www.adidas.com/us/y-3-slides/ID4445.html,7 colors,$161,$230,-,WOMEN Y-3
1,Edge Lux Shoes,https://www.adidas.com/us/edge-lux-shoes/H03780.html,4 colors,$72,$90,-,Women's Sportswear
2,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/IG5933.html,2 colors,$84,$120,-,Women's Originals
3,Edge Lux Running Shoes,https://www.adidas.com/us/edge-lux-running-shoes/HQ1687.html,4 colors,$72,$90,-,Women's Running
4,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IF8125.html,7 colors,$77,$110,-,Women's Originals
5,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IG7348.html,11 colors,$52,$80,-,Women's Essentials
6,Solarcontrol Running Shoes,https://www.adidas.com/us/solarcontrol-running-shoes/GY1657.html,3 colors,$52,$130,-,Women's Running
7,Copa Pure.3 Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-pure.3-firm-ground-soccer-cleats/HQ8984.html,"2 colors, Firm Ground",$72,$80,-,WOMEN Soccer
8,Solarmotion BOA Golf Shoes,https://www.adidas.com/us/solarmotion-boa-golf-shoes/GV9392.html,3 colors,$112,$160,-,Women's Golf
9,Copa Pure.2 Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-pure.2-firm-ground-soccer-cleats/HQ8977.html,"2 colors, Firm Ground",$84,$140,-,WOMEN Soccer
10,Puremotion 2.0 Shoes,https://www.adidas.com/us/puremotion-2.0-shoes/IF2771.html,5 colors,$49,$75,-,Women's Essentials
11,Y-3 GR.1P,https://www.adidas.com/us/y-3-gr.1p/FZ6391.html,3 colors,$231,$330,-,WOMEN Y-3
12,Bounce Legends Basketball Shoes,https://www.adidas.com/us/bounce-legends-basketball-shoes/IE9278.html,4 colors,$64,$85,-,WOMEN Basketball
13,Duramo SL Running Shoes,https://www.adidas.com/us/duramo-sl-running-shoes/IF7273.html,2 colors,$46,$70,-,Women's Running
14,TERREX AX4 Hiking Shoes,https://www.adidas.com/us/terrex-ax4-hiking-shoes/IF4872.html,3 colors,$55,$100,-,Women's TERREX
15,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IG7344.html,11 colors,$60,$80,-,Women's Essentials
16,Novaflight Volleyball Shoes,https://www.adidas.com/us/novaflight-volleyball-shoes/GX8190.html,-,$55,$110,-,Women's Volleyball
17,Duramo Speed Running Shoes,https://www.adidas.com/us/duramo-speed-running-shoes/IE9682.html,2 colors,$63,$90,-,Women's Running
18,Superstar Bonega Shoes,https://www.adidas.com/us/superstar-bonega-shoes/GX1840.html,6 colors,$84,$120,-,Women's Originals
19,Edge Lux 6.0 Shoes,https://www.adidas.com/us/edge-lux-6.0-shoes/ID1952.html,6 colors,$81,$90,-,Women's Training
20,Predator Accuracy.3 Laceless Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.3-laceless-firm-ground-soccer-cleats/GZ0019.html,"3 colors, Firm Ground",$75,$100,-,WOMEN Soccer
21,EQ21 Run Running Shoes,https://www.adidas.com/us/eq21-run-running-shoes/GY2208.html,4 colors,$64,$80,-,Women's Running
22,Adimatic Shoes,https://www.adidas.com/us/adimatic-shoes/GY2093.html,-,$88,$110,-,WOMEN Originals
23,The Velosamba Vegan Cycling Shoes,https://www.adidas.com/us/the-velosamba-vegan-cycling-shoes/HP5399.html,7 colors,$85,$130,-,WOMEN Cycling
24,Web BOOST Shoes,https://www.adidas.com/us/web-boost-shoes/HR0085.html,4 colors,$72,$160,-,WOMEN Sportswear
25,Forum Low Shoes,https://www.adidas.com/us/forum-low-shoes/HQ4426.html,3 colors,$88,$110,-,Women's Originals
26,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/ID9665.html,24 colors,$133,$190,-,Women's Sportswear
