,product_code,n_reviews,quality,star_rating,size,comfort
877,IF2921,280,88.2143,4.7,55.9821,86.7857
878,IG4996,32,92.1875,4.8,56.0345,82.7586
879,IF5009,43,93.0233,4.7,51.7442,84.3023
880,HP3131,282,88.2092,4.7,55.9397,86.7021
881,ID9436,282,88.2092,4.7,55.9397,86.7021
882,HP3147,282,88.2092,4.7,55.9397,86.7021
883,IF4947,404,84.4059,4.6,51.7946,80.6312
884,ID4226,78,90.0641,4.3,49.359,81.4103
885,HQ6787,373,92.0241,4.7,53.7534,85.2547
886,HQ6343,1914,89.2764,4.7,49.6082,86.0893
887,IF4919,175,91.1429,4.8,51.1429,89.4286
888,FW2823,195,85.3846,4.6,48.3333,81.4103
889,IF6528,52,91.8269,4.8,53.3654,82.6923
890,IG2372,194,82.0876,4.4,56.3144,76.4175
891,IE7199,235,89.0426,4.8,51.7094,80.3419
892,FZ5621,265,88.9623,4.7,55.283,85.283
893,GZ9848,7,96.4286,4.6,57.1429,75
894,IF8114,161,92.7019,4.8,53.882,81.9876
895,ID0986,373,92.0241,4.7,53.7534,85.2547
896,IF3906,153,91.3399,4.6,51.9608,88.7255
897,IE7202,235,89.0426,4.8,51.7094,80.3419
898,HQ7231,106,87.2642,4.5,47.8774,80.6604
899,IE0574,199,90.9548,4.7,47.4874,85.1759
900,IE7176,258,90.407,4.8,50.4845,81.8798
901,IG5461,,,,,
902,ID9682,2052,90.1803,4.7,50.0609,87.3964
903,FZ6396,29,89.6552,4.2,58.6207,79.3103
904,ID9666,2052,90.1803,4.7,50.0609,87.3964
905,HQ3790,1209,85.9595,4.7,51.3441,86.0629
906,IF2587,7,85.7143,4.4,64.2857,78.5714
907,FZ6294,579,91.7962,4.8,52.5563,82.5823
908,HP2204,72,82.9861,4.5,49.3056,77.7778
909,HQ8399,258,88.469,4.6,48.4496,86.8217
910,FZ6445,202,88.8614,4.5,46.9059,81.6832
911,IE7198,100,92.25,4.8,46.25,82.75
912,ID1746,2052,90.1803,4.7,50.0609,87.3964
913,GY5124,404,84.4059,4.6,51.7946,80.6312
914,IF3902,153,91.3399,4.6,51.9608,88.7255
915,GW2233,30,85.8333,4.1,63.3333,64.1667
916,GY9808,434,84.6198,4.0,46.2209,73.7791
917,HP5778,613,86.3785,4.5,50.938,83.6052
918,GW2007,579,91.7962,4.8,52.5563,82.5823
919,HQ8397,258,88.469,4.6,48.4496,86.8217
920,IF7427,195,85.3846,4.6,48.3333,81.4103
921,IF4015,6,79.1667,4.7,50,79.1667
922,HP9832,1175,82.5957,4.4,51.2979,76.617
923,GZ2528,10,67.5,4.2,50,77.5
924,IF4948,404,84.4059,4.6,51.7946,80.6312
925,ID9599,282,88.2092,4.7,55.9397,86.7021
926,ID6902,99,86.8687,4.6,51.7677,81.3131
927,HQ8395,258,88.469,4.6,48.4496,86.8217
928,IG5460,57,92.5439,4.7,55.2632,91.6667
929,IE7634,1101,88.3969,4.5,49.5686,79.6094
930,GW5632,5510,86.2477,4.6,52.1125,83.0638
931,GW4569,135,85,4.6,50.1852,80.1852
932,IF2408,1101,88.3969,4.5,49.5686,79.6094
933,HR1310,1101,88.3969,4.5,49.5686,79.6094
934,HQ9918,301,79.8173,4.1,68.9369,69.9336
935,IE2025,88,80.9659,4.3,50.2841,73.0114
936,HR1749,12,85.4167,4.7,45.8333,77.0833
937,IG5876,295,93.7288,4.8,51.3559,90.5932
938,IF7425,195,85.3846,4.6,48.3333,81.4103
939,GX9835,6108,90.6966,4.7,54.7224,90.9001
940,HP9721,100,87,4.6,51.75,80.75
941,GZ4581,44,88.0682,4.8,50.5682,88.0682
942,IF4012,6,79.1667,4.7,50,79.1667
943,IE9377,43,84.8837,4.5,43.0233,75
944,GZ9257,5510,86.2477,4.6,52.1125,83.0638
945,GZ9260,5510,86.2477,4.6,52.1125,83.0638
946,IH0018,34,86.7647,4.2,63.2353,64.7059
947,IG0769,7,67.8571,4.7,50,75
948,GV9786,251,87.1514,4.6,53.1873,89.6414
949,GZ3779,8380,83.3204,4.5,44.2729,77.3489
950,IG4767,48,90.1042,4.4,56.7708,85.4167
951,HQ6747,622,87.0177,4.6,50.9244,79.4212
952,IG5459,57,92.5439,4.7,55.2632,91.6667
953,IG5246,1335,89.0637,4.7,49.0817,81.3531
954,IF3904,153,91.3399,4.6,51.9608,88.7255
955,HQ4322,207,87.4396,4.6,50.8454,83.0918
956,IG5285,434,89.977,4.7,47.3958,83.2176
957,ID1496,104,84.375,4.4,47.3558,80.2885
958,IG5877,295,93.7288,4.8,51.3559,90.5932
959,ID4673,4869,89.3356,4.8,52.4912,82.6488
960,IG2260,510,92.9902,4.7,47.8922,87.2059
961,GY7356,1175,82.5957,4.4,51.2979,76.617
962,GZ0039,16,81.25,3.9,35.9375,68.75
963,HP3288,29,87.931,4.6,49.1379,81.0345
964,IF4941,511,87.6712,4.6,46.184,84.589
965,HP6585,207,87.4396,4.6,50.8454,83.0918
966,IF2414,1915,89.282,4.7,49.6084,86.0966
967,IF2414,1915,89.282,4.7,49.6084,86.0966
968,ID0355,197,90.8629,4.7,47.5888,85.1523
969,HQ9916,305,79.6721,4.1,69.0164,69.7541
970,IG0253,79,90.1899,4.3,49.6835,81.6456
971,GY2534,3,91.6667,5.0,66.6667,100
972,HQ9917,305,79.6721,4.1,69.0164,69.7541
973,GW4179,5,90,4.6,35,95
974,IG5893,295,93.7288,4.8,51.3559,90.5932
975,HP6584,207,87.4396,4.6,50.8454,83.0918
976,IG5268,42,92.2619,4.5,48.8095,79.7619
977,GV6914,72,93.75,4.8,49.6528,91.6667
978,HP9939,12,81.25,4.6,45.8333,79.1667
979,HQ3970,1175,82.5957,4.4,51.2979,76.617
980,HP2201,374,92.0455,4.7,53.7433,85.2273
981,GV9400,434,84.6198,4.0,46.2209,73.7791
982,IG1603,42,84.5238,4.5,52.381,75
983,HQ9036,39,94.2308,4.7,51.2821,78.8462
984,HQ9943,9,97.2222,4.6,58.3333,94.4444
985,HQ2111,22,89.7727,4.5,42.0455,80.6818
986,GZ9259,5510,86.2477,4.6,52.1125,83.0638
987,IF7333,58,87.931,4.5,51.2931,84.9138
988,HQ3365,51,87.2549,4.3,44.1176,75.9804
989,IG3043,11,90.9091,4.7,50,86.3636
990,ID1747,295,93.7288,4.8,51.3559,90.5932
991,GX9249,1027,87.7313,4.6,48.1743,86.9279
992,HP6386,2386,88.2544,4.7,54.979,87.4528
993,IF3336,81,92.9012,4.8,52.4691,85.8025
994,IG5266,43,92.4419,4.6,48.8372,80.2326
995,ID6921,106,87.2642,4.5,47.8774,80.6604
996,GX9247,1027,87.7313,4.6,48.1743,86.9279
997,ID2041,36,91.6667,4.8,52.7778,88.1944
998,HR1308,491,89.1039,4.6,48.2143,85.102
999,HP2176,44,88.0682,4.8,50.5682,88.0682
1000,HQ8398,259,88.5135,4.6,48.4556,86.8726
1001,GX9524,5510,86.2477,4.6,52.1125,83.0638
1002,FZ6439,202,88.8614,4.5,46.9059,81.6832
1003,FW2824,195,85.3846,4.6,48.3333,81.4103
1004,GY2535,3,91.6667,5.0,66.6667,100
1005,IF2448,100,92.25,4.8,46.25,82.75
1006,HP3129,284,88.2923,4.7,55.8979,86.7958
1007,IG5252,2710,88.6034,4.6,47.0937,80.1811
1008,HP3132,285,88.3333,4.7,55.8772,86.8421
1009,IF4923,259,88.5135,4.6,48.4556,86.8726
1010,HQ2104,14,89.2857,4.1,42.8571,83.9286
1011,IG0664,9,91.6667,5.0,52.7778,91.6667
1012,HP5523,81,83.9506,4.3,58.642,69.7531
1013,HP3133,282,88.2092,4.7,55.9397,86.7021
1014,ID1687,,,,,
1015,IF2225,88,80.9659,4.3,50.2841,73.0114
1016,HQ4312,9,97.2222,4.6,58.3333,94.4444
1017,HQ5873,2052,90.1803,4.7,50.0609,87.3964
1018,HQ4324,207,87.4396,4.6,50.8454,83.0918
1019,GY3808,97,79.6392,4.4,52.5773,76.0309
1020,HQ6179,8,93.75,4.9,56.25,87.5
1021,IE7652,57,92.5439,4.7,55.2632,91.6667
1022,HQ6785,374,92.0455,4.7,53.7433,85.2273
1023,ID0360,733,88.6085,4.4,59.9932,76.1937
1024,IE7022,39,94.2308,4.7,51.2821,78.8462
1025,HP9928,7,96.4286,4.6,57.1429,75
1026,GY4488,3,41.6667,2.3,16.6667,41.6667
1027,HQ1231,258,84.1085,4.5,52.1318,75.7752
1028,HQ2105,14,89.2857,4.1,42.8571,83.9286
1029,HR1119,11,95.4545,4.5,47.7273,79.5455
1030,FZ6225,59,85.5932,4.5,52.1186,80.9322
1031,FY2923,3043,87.8327,4.7,50.6575,82.9306
1032,ID8074,19,76.3158,4.1,52.6316,67.1053
1033,IE8155,1929,89.3209,4.7,49.5853,86.1327
1034,GX2085,1178,82.6401,4.4,51.2521,76.528
1035,ID7493,,,,,
1036,HP9940,12,81.25,4.6,45.8333,79.1667
1037,GZ8185,2743,84.4787,4.6,52.3919,84.2284
1038,GX9251,,,,,
1039,HQ1062,141,89.3617,4.6,45.922,82.0922
1040,IG3129,429,85.0233,4.5,52.9206,83.236
1041,HP6880,220,85.1136,4.5,48.0682,81.7045
1042,IG0746,1936,89.3079,4.7,49.5997,86.1312
1043,GW1749,3,91.6667,4.7,50,91.6667
1044,IG5336,77,88.961,4.5,50.3247,82.4675
1045,HQ6713,32,84.375,4.3,43.75,76.5625
1046,IE1768,1936,89.3079,4.7,49.5997,86.1312
1047,ID6923,107,87.3832,4.5,47.8972,80.6075
1048,H03678,18,91.6667,4.6,50,91.6667
1049,ID1724,183,85.3825,4.4,51.5027,77.7322
1050,HP9936,12,81.25,4.6,45.8333,79.1667
1051,FZ6293,580,91.8103,4.8,52.5519,82.6125
1052,H03612,310,91.129,4.7,54.8387,84.2742
1053,HQ9119,9,97.2222,4.6,58.3333,94.4444
1054,IG2374,197,82.1066,4.4,56.8528,76.5228
1055,ID4122,11,90.9091,4.7,50,86.3636
1056,IE9969,36,91.6667,4.8,52.7778,88.1944
1057,HR1312,1105,88.4163,4.5,49.5701,79.6606
1058,GW9088,845,84.4787,4.5,45.4088,79.4135
1059,HQ8384,175,91.1429,4.8,51.1429,89.4286
1060,IF5338,,,,,
1061,HP9941,12,81.25,4.6,45.8333,79.1667
1062,IE6631,39,79.4872,4.4,51.9231,76.2821
1063,GW9089,845,84.4787,4.5,45.4088,79.4135
1064,FW2851,8,71.875,3.6,28.125,56.25
1065,IE2026,88,80.9659,4.3,50.2841,73.0114
1066,IE7689,32,91.4062,4.8,47.6562,74.2188
1067,IE7652,57,92.5439,4.7,55.2632,91.6667
1068,IE7271,625,87.04,4.6,50.96,79.48
1069,HP9705,309,91.1003,4.7,54.6926,84.2233
