,product_code,count_of_sizes,colors
223,396113_01,11,['Green Fog-PUMA White-Sand Dune']
224,386270_02,11,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']"
225,384433_02,6,['Puma White-Nimbus Cloud-Fizzy Melon']
226,393077_01,10,['PUMA White-Frosty Pink']
227,389585_01,9,['PUMA White']
228,393340_01,12,['PUMA White-Parisian Night-Vine']
229,106898_01,13,['Fizzy Light-Parisian Night-Blue Glimmer']
230,393049_01,15,['PUMA White-Warm White']
231,377046_09,11,['Fast Yellow-PUMA Black']
232,385517_02,12,['Pastel Parchment-Peach Pink-Ocean Dive']
233,107093_02,12,['Fiery Coral-Fizzy Light-Puma Black-Salmon']
234,374915_01,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
235,379303_01,15,['PUMA White']
236,378916_01,15,['Purple Glimmer-Green Gecko']
237,374915_04,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
238,374915_12,15,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
239,374915_07,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
240,374915_02,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
241,374915_06,19,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
242,379235_01,15,['Feather Gray-Lime Smash']
243,379233_01,15,['Fluro Green Pes-PUMA Green-Fluro Yellow Pes']
244,379601_01,13,"['PUMA Black-Stormy Slate-For All Time Red', 'For All Time Red-PUMA Black-Gray Fog', 'Club Navy-PUMA Black-Electric Lime']"
245,376941_04,13,"['Puma White-Silver', 'PUMA Black-PUMA Black']"
246,374915_05,19,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']"
