,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
128,Nike Huarache 9 Varsity LAX SE,https://www.nike.com/t/huarache-9-varsity-lax-se-lacrosse-cleats-GFrQxL/FZ3620-001,1,95.0,95,Women,Nike,FZ3620-001
129,Nike SB Zoom Blazer Mid,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-qX3MZV/864349-302,3,67.97,90,Women,Nike,864349-302
130,Nike Invincible 3 By You,https://www.nike.com/u/nike-invincible-run-3-by-you-custom-shoes-10001504/2437271484,6,210.0,210,Women,Nike,DX5051-400
131,Nike Free Run 2018,https://www.nike.com/t/free-run-2018-womens-running-shoes-2Xz32l/942839-600,3,101.97,120,Women,Nike,942839-600
132,KD16,https://www.nike.com/t/kd16-basketball-shoes-H3gcDG/DV2917-401,6,127.97,150,Women,Nike,DV2917-401
133,Nike Cortez Platform Unlocked By You Greatest Gift,https://www.nike.com/u/custom-cortez-platform-unlocked-by-you-10001679/7647758839,3,130.0,130,Women,Nike,FQ7223-900
134,Nike Court Vintage Premium,https://www.nike.com/t/court-vintage-premium-shoes-Cqk441/CW7586-100,1,80.0,80,Women,Nike,CW7586-100
135,Nike Shox TL,https://www.nike.com/launch/r/AR3566-002,2,170.0,170,Women,Nike,
136,Nike Air Max Bliss SE,https://www.nike.com/t/air-max-bliss-se-womens-shoes-rJ0q5H/FB9752-100,6,82.97,140,Women,Nike,FB9752-100
137,Nike Air Force 1 Low By You,https://www.nike.com/u/custom-nike-air-force-1-low-by-you-10001752/4667216464,12,135.0,135,Women,Nike,DV3907-900
138,Nike City Classic,https://www.nike.com/t/city-classic-womens-boots-QTgPCN/DQ5601-003,3,106.97,125,Women,Nike,DQ5601-003
139,Nike Air Max 1 '87 By You,https://www.nike.com/u/custom-air-max-1-unlocked-by-you-10001615/1863505004,7,180.0,180,Women,Nike,FJ8893-900
140,Nike Hyperdiamond 4 Pro,https://www.nike.com/t/hyperdiamond-4-pro-womens-softball-cleats-K4vhtH/CZ5920-400,9,80.0,80,Women,Nike,CZ5920-400
141,Nike Blazer Low '77 Jumbo,https://www.nike.com/t/blazer-low-77-jumbo-womens-shoes-PdFBP1/DQ1470-002,4,100.0,100,Women,Nike,DQ1470-002
142,Nike Dunk Low Unlocked By You,https://www.nike.com/u/nike-dunk-low-unlocked-by-you-10001614/5150220534,7,160.0,160,Women,Nike,FJ2253-901
143,Jumpman Two Trey,https://www.nike.com/t/jumpman-two-trey-womens-shoes-VKM3mw/DR9631-801,7,131.97,155,Women,Nike,DR9631-801
144,Nike Air Max 1 '87 Premium,https://www.nike.com/launch/r/FN7200-224,1,160.0,160,Women,Nike,
145,NikeCourt Air Zoom NXT,https://www.nike.com/t/nikecourt-air-zoom-nxt-womens-hard-court-tennis-shoes-j36m8b/DV3282-103,4,140.0,140,Women,Nike,DV3282-103
146,Nike Elevate 2,https://www.nike.com/t/elevate-2-basketball-shoes-v0S9N8/CW3406-004,1,40.97,80,Women,Nike,CW3406-004
147,Air Jordan 1 Low FlyEase,https://www.nike.com/t/air-jordan-1-low-flyease-mens-easy-on-off-shoes-D3wW7l/DM1206-174,1,84.97,130,Women,Nike,DM1206-174
148,Nike Rival Sprint,https://www.nike.com/t/rival-sprint-track-field-sprinting-spikes-Bc9gTn/DC8753-100,4,75.0,75,Women,Nike,DC8753-100
149,Nike Air Max 95 By You,https://www.nike.com/u/custom-nike-air-max-95-by-you-10001246/8479541797,8,190.0,190,Women,Nike,314352-998
150,Nike Air Zoom Victory,https://www.nike.com/t/air-zoom-victory-track-field-distance-spikes-MsLPjj/CD4385-400,5,190.0,190,Women,Nike,CD4385-400
