,product_code,n_reviews,quality,star_rating,Size,comfort
280,,,,,,
281,CZ5917-600,29.0,,4.7,,
282,DC8749-101,37.0,,4.6,,
283,AO2416-101,2.0,66.67,4.5,50.0,100.0
284,DM8199-064,0.0,,0,,
285,DA2725-301,52.0,56.59,4.7,68.0,96.0
286,FN7400-140,1.0,83.33,5,50.0,100.0
287,M9622-410,17.0,83.5,5,67.0,100.0
288,DX6915-300,4.0,75.0,5,50.0,100.0
289,FJ2253-901,,,,,
290,DZ2795-001,7.0,38.1,4.3,50.0,50.0
291,849560-001,20.0,45.67,3.5,41.0,91.0
292,DZ2795-700,7.0,38.1,4.3,50.0,50.0
293,DR0126-600,14.0,49.86,4.3,42.0,79.0
294,CW3203-600,13.0,58.95,4.1,46.0,77.0
295,FN5714-001,3.0,67.0,5,34.0,67.0
296,DD1901-600,2.0,75.0,4,,75.0
297,DD9535-005,159.0,44.48,4.4,45.0,79.0
298,FD2652-002,1.0,100.0,5,100.0,100.0
299,FN0784-004,37.0,55.54,4.6,49.0,96.0
300,DZ5211-100,0.0,,0,,
301,DH3395-102,9.0,19.0,3.7,13.0,25.0
302,FN0569-900,,,,,
303,DQ1979-500,4.0,75.0,4.3,50.0,100.0
304,AO3622-002,265.0,55.0,4.5,42.0,68.0
305,FB2390-900,,,,,
306,DJ9431-001,59.0,68.11,4.7,48.0,97.0
307,AA0286-106,402.0,39.08,4.7,34.0,83.0
308,FJ8900-900,,,,,
309,DX5655-500,3.0,66.89,4,50.0,84.0
310,FB1362-100,9.0,75.63,4.9,50.0,88.0
311,FN0569-900,,,,,
312,DJ6015-603,113.0,42.1,4.6,40.0,81.0
313,FJ8900-900,,,,,
314,DV3279-102,16.0,35.42,4.4,50.0,50.0
315,DV7408-100,12.0,69.67,4.9,50.0,84.0
316,DR6851-100,0.0,,0,,
317,DQ4124-105,83.0,36.47,4.3,43.0,64.0
318,DX5048-600,,,,,
319,FB5059-100,0.0,,0,,
320,DR1020-400,0.0,,0,,
321,FN0569-900,,,,,
322,FN0569-900,,,,,
323,,,,,,
324,FB5057-900,,,,,
325,CD5434-001,583.0,47.68,4.7,68.0,74.0
326,FN0569-900,,,,,
327,CU1722-960,,,,,
328,CW7358-601,808.0,46.42,4.7,50.0,89.0
329,,,,,,
330,DC3730-001,16.0,87.5,4.7,75.0,100.0
331,DX9013-008,1.0,100.0,5,,100.0
332,FJ8915-400,3.0,78.0,5,34.0,100.0
333,A05685C-650,0.0,,0,,
334,DZ5205-500,3.0,,4.7,,
335,DV5141-017,24.0,66.83,4.8,46.0,92.0
336,FJ4576-100,1.0,,3,,
337,FD6812-400,109.0,61.82,4.9,49.0,86.0
338,DC8990-002,86.0,75.0,4.7,50.0,100.0
339,DD9625-400,28.0,54.48,5,50.0,92.0
340,FZ6829-002,0.0,,0,,
341,DX6405-600,13.0,62.82,4.5,68.0,82.0
342,,,,,,
