,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
562,adidas by Stella McCartney Court Slip-On Shoes,https://www.adidas.com/us/adidas-by-stella-mccartney-court-slip-on-shoes/IG7076.html,2,63,180,WOMEN adidas by Stella McCartney,Adidas,IG7076
563,AVACOURT SHOES,https://www.adidas.com/us/avacourt-shoes/GW6265.html,4,77,140,Women's Tennis,Adidas,GW6265
564,Predator Accuracy.2 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.2-firm-ground-soccer-cleats/FZ6107.html,4,113,150,WOMEN Soccer,Adidas,FZ6107
565,X Crazyfast.1 Laceless Firm Ground Soccer Cleats,https://www.adidas.com/us/x-crazyfast.1-laceless-firm-ground-soccer-cleats/GY7378.html,4,203,270,WOMEN Soccer,Adidas,GY7378
566,ZNSORED HI Shoes,https://www.adidas.com/us/znsored-hi-shoes/GZ2291.html,5,72,90,WOMEN Sportswear,Adidas,GZ2291
567,Mehana Sandals,https://www.adidas.com/us/mehana-sandals/IF8182.html,3,72,90,Women's Sportswear,Adidas,IF8182
568,Forum Mid x KSENIASCHNAIDER Shoes,https://www.adidas.com/us/forum-mid-x-kseniaschnaider-shoes/IF7714.html,,60,120,Women's Originals,Adidas,IF7714
569,Forum Bonega Shoes,https://www.adidas.com/us/forum-bonega-shoes/IG0280.html,4,60,120,Women's Originals,Adidas,IG0280
570,Solarcontrol Running Shoes,https://www.adidas.com/us/solarcontrol-running-shoes/GY1658.html,3,84,140,Women's Running,Adidas,GY1658
571,Supernova+ Running Shoes,https://www.adidas.com/us/supernova-plus-running-shoes/GY8313.html,2,72,120,Women's Running,Adidas,GY8313
572,ZNSORED Shoes,https://www.adidas.com/us/znsored-shoes/HP5988.html,5,64,80,WOMEN Sportswear,Adidas,HP5988
573,Barricade Tennis Shoes,https://www.adidas.com/us/barricade-tennis-shoes/IG5468.html,4,112,160,Women's Tennis,Adidas,IG5468
574,Rivalry Low Shoes,https://www.adidas.com/us/rivalry-low-shoes/IE7284.html,2,70,100,Women's Originals,Adidas,IE7284
575,Exhibit Select Mid Basketball Shoes,https://www.adidas.com/us/exhibit-select-mid-basketball-shoes/IE9327.html,3,91,130,Women's Basketball,Adidas,IE9327
576,Exhibit Select Mid Basketball Shoes,https://www.adidas.com/us/exhibit-select-mid-basketball-shoes/IE9327.html,3,91,130,Women's Basketball,Adidas,IE9327
577,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GZ0032.html,7,208,260,WOMEN Soccer,Adidas,GZ0032
578,TERREX Skychaser Tech GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-skychaser-tech-gore-tex-hiking-shoes/GV9034.html,,248,275,WOMEN TERREX,Adidas,GV9034
579,TERREX Free Hiker Made To Be Remade Shoes,https://www.adidas.com/us/terrex-free-hiker-made-to-be-remade-shoes/GW4302.html,2,193,275,WOMEN TERREX,Adidas,GW4302
580,TERREX AX4 Hiking Shoes,https://www.adidas.com/us/terrex-ax4-hiking-shoes/IF4870.html,3,80,100,Women's TERREX,Adidas,IF4870
581,Duramo Speed Running Shoes,https://www.adidas.com/us/duramo-speed-running-shoes/IE9681.html,11,63,90,Women's Running,Adidas,IE9681
582,adidas by Stella McCartney Ultraboost 20 Shoes,https://www.adidas.com/us/adidas-by-stella-mccartney-ultraboost-20-shoes/IE4862.html,3,161,230,Women's adidas by Stella McCartney,Adidas,IE4862
583,Adicross Lo BOOST Golf Shoes,https://www.adidas.com/us/adicross-lo-boost-golf-shoes/H03663.html,3,112,160,WOMEN Golf,Adidas,H03663
584,Adilette Lite Slides,https://www.adidas.com/us/adilette-lite-slides/GZ6196.html,2,25,35,WOMEN Originals,Adidas,GZ6196
585,Y-3 ITOGO,https://www.adidas.com/us/y-3-itogo/ID4464.html,,360,600,WOMEN Y-3,Adidas,ID4464
586,Puremotion Adapt Wide Shoes,https://www.adidas.com/us/puremotion-adapt-wide-shoes/ID6992.html,2,46,70,Women's Essentials,Adidas,ID6992
587,Y-3 Slides,https://www.adidas.com/us/y-3-slides/HQ3665.html,7,120,200,WOMEN Y-3,Adidas,HQ3665
588,TERREX Trail Rider GORE-TEX Trail Running Shoes,https://www.adidas.com/us/terrex-trail-rider-gore-tex-trail-running-shoes/HQ1239.html,2,98,140,Women's TERREX,Adidas,HQ1239
589,X Crazyfast Injection.1 Laceless Firm Ground Soccer Cleats,https://www.adidas.com/us/x-crazyfast-injection.1-laceless-firm-ground-soccer-cleats/IG0765.html,,203,270,WOMEN Soccer,Adidas,IG0765
590,Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/GZ6412.html,17,32,40,WOMEN Sportswear,Adidas,GZ6412
591,Response CL Shoes,https://www.adidas.com/us/response-cl-shoes/ID4291.html,,104,130,Women's Originals,Adidas,ID4291
592,Forum 84 Hi Shoes,https://www.adidas.com/us/forum-84-hi-shoes/HQ4381.html,2,98,130,Women's Originals,Adidas,HQ4381
593,adiFOM SLTN Shoes,https://www.adidas.com/us/adifom-sltn-shoes/GZ9654.html,2,70,100,Women's Originals,Adidas,GZ9654
594,Rivalry Low 86 Shoes,https://www.adidas.com/us/rivalry-low-86-shoes/HQ7022.html,2,77,110,Women's Originals,Adidas,HQ7022
595,adidas by Stella McCartney Slides,https://www.adidas.com/us/adidas-by-stella-mccartney-slides/GX3122.html,2,49,70,Women's adidas by Stella McCartney,Adidas,GX3122
596,adi2000 Shoes,https://www.adidas.com/us/adi2000-shoes/GX4634.html,4,88,110,WOMEN Originals,Adidas,GX4634
597,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6346.html,22,95,190,Women's Running,Adidas,HQ6346
598,Solarthon Primegreen Spikeless Golf Shoes,https://www.adidas.com/us/solarthon-primegreen-spikeless-golf-shoes/FZ1025.html,,90,150,WOMEN Golf,Adidas,FZ1025
599,Exhibit Select Mid Basketball Shoes,https://www.adidas.com/us/exhibit-select-mid-basketball-shoes/IE9332.html,3,91,130,Women's Basketball,Adidas,IE9332
600,Predator Accuracy.3 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.3-firm-ground-soccer-cleats/GZ0024.html,5,81,90,WOMEN Soccer,Adidas,GZ0024
601,Five Ten Trailcross Clip-In Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-clip-in-mountain-bike-shoes/GZ9842.html,4,99,165,Women's Five Ten,Adidas,GZ9842
602,Solarmotion Spikeless Shoes,https://www.adidas.com/us/solarmotion-spikeless-shoes/GX4021.html,3,72,120,Women's Golf,Adidas,GX4021
603,The Gravel Cycling Shoes,https://www.adidas.com/us/the-gravel-cycling-shoes/HP5400.html,4,144,180,WOMEN Cycling,Adidas,HP5400
604,ZNTASY Capsule Collection Shoes,https://www.adidas.com/us/zntasy-capsule-collection-shoes/GZ2314.html,3,80,100,Women's Sportswear,Adidas,GZ2314
605,adiFOM SLTN Shoes,https://www.adidas.com/us/adifom-sltn-shoes/GZ9653.html,2,80,100,Women's Originals,Adidas,GZ9653
606,Adilette Lite Slides,https://www.adidas.com/us/adilette-lite-slides/FU8298.html,4,28,35,WOMEN Originals,Adidas,FU8298
607,Women's Tour360 22 Golf Shoes,https://www.adidas.com/us/womens-tour360-22-golf-shoes/GV9663.html,,102,170,Women's Golf,Adidas,GV9663
608,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GZ0031.html,7,208,260,WOMEN Soccer,Adidas,GZ0031
609,ZNSORED Shoes,https://www.adidas.com/us/znsored-shoes/HP5987.html,2,64,80,WOMEN Sportswear,Adidas,HP5987
610,Adilette Comfort Sandals,https://www.adidas.com/us/adilette-comfort-sandals/GV9712.html,3,20,40,WOMEN Yoga,Adidas,GV9712
611,Defiant Speed Tennis Shoes,https://www.adidas.com/us/defiant-speed-tennis-shoes/GV9530.html,3,70,100,Women's Tennis,Adidas,GV9530
612,Solarmotion Spikeless Shoes,https://www.adidas.com/us/solarmotion-spikeless-shoes/GX4020.html,3,78,120,Women's Golf,Adidas,GX4020
613,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5982.html,18,98,140,WOMEN Sportswear,Adidas,HP5982
614,Adizero Avanti TYO Running Shoes,https://www.adidas.com/us/adizero-avanti-tyo-running-shoes/GV9073.html,,105,150,WOMEN Track & Field,Adidas,GV9073
615,Adizero RC 5 Running Shoes,https://www.adidas.com/us/adizero-rc-5-running-shoes/GX9781.html,,70,100,WOMEN Running,Adidas,GX9781
616,ZG23 Vent Golf Shoes,https://www.adidas.com/us/zg23-vent-golf-shoes/GW2127.html,,140,200,Women's Golf,Adidas,GW2127
617,Rivalry Low Shoes,https://www.adidas.com/us/rivalry-low-shoes/IG3332.html,3,50,100,Women's Originals,Adidas,IG3332
618,Forum Bold Shoes,https://www.adidas.com/us/forum-bold-shoes/HQ1984.html,7,77,110,Women's Originals,Adidas,HQ1984
619,Ultraboost 4.0 DNA Shoes,https://www.adidas.com/us/ultraboost-4.0-dna-shoes/H02590.html,,152,190,Women's Sportswear,Adidas,H02590
620,Trae Unlimited Basketball Shoes,https://www.adidas.com/us/trae-unlimited-basketball-shoes/IF5609.html,7,86,95,WOMEN Basketball,Adidas,IF5609
621,PureHustle Cleats,https://www.adidas.com/us/purehustle-cleats/EG5634.html,,51,85,Women's Softball,Adidas,EG5634
622,S2G BOA Spiked Golf Shoes,https://www.adidas.com/us/s2g-boa-spiked-golf-shoes/GV9435.html,2,77,110,Women's Golf,Adidas,GV9435
623,Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/GZ5893.html,3,25,35,WOMEN Sportswear,Adidas,GZ5893
624,X Crazyfast.3 Indoor Soccer Shoes,https://www.adidas.com/us/x-crazyfast.3-indoor-soccer-shoes/ID9340.html,4,86,95,WOMEN Soccer,Adidas,ID9340
625,Nizza RF Hi Shoes,https://www.adidas.com/us/nizza-rf-hi-shoes/F34057.html,4,63,90,WOMEN Originals,Adidas,F34057
626,Copa Pure+ Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-pure-plus-firm-ground-soccer-cleats/HQ8891.html,3,210,280,WOMEN Soccer,Adidas,HQ8891
627,Adistar CS 2.0 Running Shoes,https://www.adidas.com/us/adistar-cs-2.0-running-shoes/HP9640.html,3,144,160,Women's Running,Adidas,HP9640
628,BYW Select Basketball Shoes,https://www.adidas.com/us/byw-select-basketball-shoes/IE9306.html,2,84,140,WOMEN Basketball,Adidas,IE9306
