,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
39,Cali Dream West Coast Leather Women's SneakersPUMA Black-PUMA White,https://us.puma.com/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=08&referrer-category=womens-shop-all-womens,4,90.00,90.00,Women,Puma,392730_08
40,Palermo Women's SneakersFresh Mint-Fast Pink,https://us.puma.com/us/en/pd/palermo-womens-sneakers/397643?swatch=02&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,397643_02
41,Dinara Women's BootsPUMA Black,https://us.puma.com/us/en/pd/dinara-womens-boots/394786?swatch=01&referrer-category=womens-shop-all-womens,2,100.00,100.00,Women,Puma,394786_01
42,PUMA x LAUREN LONDON RS-Trck SneakersPUMA White-Pristine,https://us.puma.com/us/en/pd/puma-x-lauren-london-rs-trck-sneakers/392086?swatch=01&referrer-category=womens-shop-all-womens,1,130.00,130.00,Women,Puma,392086_01
43,Cali Dream Women's SneakersPuma White-Puma Black-Gray Violet,https://us.puma.com/us/en/pd/cali-dream-womens-sneakers/383112?swatch=04&referrer-category=womens-shop-all-womens,1,90.00,90.00,Women,Puma,383112_04
44,Electrify NITRO™ 3 Women's Running ShoesPUMA Black-PUMA Silver,https://us.puma.com/us/en/pd/electrify-nitro%E2%84%A2-3-womens-running-shoes/378456?swatch=01&referrer-category=womens-shop-all-womens,3,100.00,100.00,Women,Puma,378456_01
45,PUMA Cali Court Patent Women's SneakersPUMA White,https://us.puma.com/us/en/pd/puma-cali-court-patent-womens-sneakers/394755?swatch=02&referrer-category=womens-shop-all-womens,1,85.00,85.00,Women,Puma,394755_02
46,Mayze Stack Luxe Women's SneakersPUMA White-Warm White-Dark Jasper,https://us.puma.com/us/en/pd/mayze-stack-luxe-womens-sneakers/389853?swatch=06&referrer-category=womens-shop-all-womens,2,95.00,95.00,Women,Puma,389853_06
47,Cali Dream West Coast Leather Women's SneakersPUMA Black,https://us.puma.com/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=02&referrer-category=womens-shop-all-womens,4,90.00,90.00,Women,Puma,392730_02
48,Mayze Stack Injex Women's SandalsPUMA Black,https://us.puma.com/us/en/pd/mayze-stack-injex-womens-sandals/389454?swatch=04&referrer-category=womens-shop-all-womens,2,60.00,60.00,Women,Puma,389454_04
49,RS-X Reinvent Women's SneakersDark Jasper-Warm White,https://us.puma.com/us/en/pd/rs-x-reinvent-womens-sneakers/371008?swatch=27&referrer-category=womens-shop-all-womens,1,110.00,110.00,Women,Puma,371008_27
50,Velocity NITRO™ 2 Women’s Running ShoesFire Orchid-Ultra Blue,https://us.puma.com/us/en/pd/velocity-nitro%E2%84%A2-2-women%E2%80%99s-running-shoes/376262?swatch=21&referrer-category=womens-shop-all-womens,1,120.00,120.00,Women,Puma,376262_21
51,SEASONS Voyage NITRO™ 3 Women's Running ShoesEucalyptus-Alpine Snow-PUMA Black,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=04&referrer-category=womens-shop-all-womens,5,140.00,140.00,Women,Puma,377746_04
52,STEWIE x WATER Stewie 2 Women's Basketball ShoesLight Aqua-PUMA White,https://us.puma.com/us/en/pd/stewie-x-water-stewie-2-womens-basketball-shoes/378318?swatch=02&referrer-category=womens-shop-all-womens,1,125.00,125.00,Women,Puma,378318_02
53,Voltaic Evo Women's Running ShoeSugared Almond-PUMA Gold,https://us.puma.com/us/en/pd/voltaic-evo-womens-running-shoe/309720?swatch=04&referrer-category=womens-shop-all-womens,1,80.00,80.00,Women,Puma,309720_04
54,Cali Dream West Coast Leather Women's SneakersPUMA White-PUMA Black,https://us.puma.com/us/en/pd/cali-dream-west-coast-leather-womens-sneakers/392730?swatch=04&referrer-category=womens-shop-all-womens,4,90.00,90.00,Women,Puma,392730_04
55,PUMA x BLACK FIVES All-Pro NITRO™ Basketball ShoesPUMA Navy,https://us.puma.com/us/en/pd/puma-x-black-fives-all-pro-nitro%E2%84%A2-basketball-shoes/379886?swatch=01&referrer-category=womens-shop-all-womens,1,140.00,140.00,Women,Puma,379886_01
56,ForeverRUN NITRO™ Women's Running ShoesFire Orchid-PUMA Black-PUMA Silver,https://us.puma.com/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/377758?swatch=09&referrer-category=womens-shop-all-womens,2,150.00,150.00,Women,Puma,377758_09
57,Deviate NITRO™ 2 Women's Running ShoesFire Orchid-PUMA Black-Icy Blue,https://us.puma.com/us/en/pd/deviate-nitro%E2%84%A2-2-womens-running-shoes/376855?swatch=22&referrer-category=womens-shop-all-womens,3,160.00,160.00,Women,Puma,376855_22
58,PUMA x LAUREN LONDON Suede SneakersPUMA White-PUMA White,https://us.puma.com/us/en/pd/puma-x-lauren-london-suede-sneakers/392085?swatch=01&referrer-category=womens-shop-all-womens,1,90.00,90.00,Women,Puma,392085_01
59,PUMA x PLEASURES Velophasis Layers SneakersCayenne Pepper-Astro Red,https://us.puma.com/us/en/pd/puma-x-pleasures-velophasis-layers-sneakers/393301?swatch=02&referrer-category=womens-shop-all-womens,1,140.00,140.00,Women,Puma,393301_02
60,Mayze Stack Soft Winter Women's SneakersPUMA Black,https://us.puma.com/us/en/pd/mayze-stack-soft-winter-womens-sneakers/393065?swatch=02&referrer-category=womens-shop-all-womens,2,110.00,110.00,Women,Puma,393065_02
61,Velophasis Technisch Sneakers PUMA Black-PUMA White,https://us.puma.com/us/en/pd/velophasis-technisch-sneakers%C2%A0/390932?swatch=02&referrer-category=womens-shop-all-womens,3,120.00,120.00,Women,Puma,390932_02
62,PUMA Cali Court Leather Women's SneakersPUMA White-PUMA Black,https://us.puma.com/us/en/pd/puma-cali-court-leather-womens-sneakers/393802?swatch=01&referrer-category=womens-shop-all-womens,2,85.00,85.00,Women,Puma,393802_01
63,ForeverRUN NITRO™ Women's Running ShoesPUMA Black-PUMA White,https://us.puma.com/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/377758?swatch=01&referrer-category=womens-shop-all-womens,2,150.00,150.00,Women,Puma,377758_01
64,KING ULTIMATE FG/AG Women's Soccer CleatsAlpine Snow-Asphalt-Yellow Blaze,https://us.puma.com/us/en/pd/king-ultimate-fg-ag-womens-soccer-cleats/107565?swatch=03&referrer-category=womens-shop-all-womens,2,200.00,200.00,Women,Puma,107565_03
65,Palermo Women's Leather SneakersPUMA Black-Feather Gray-Gum,https://us.puma.com/us/en/pd/palermo-womens-leather-sneakers/397647?swatch=03&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,397647_03
66,Deviate NITRO™ 2 Women's Running ShoesPUMA Black-Fire Orchid,https://us.puma.com/us/en/pd/deviate-nitro%E2%84%A2-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shop-all-womens,3,160.00,160.00,Women,Puma,376855_17
67,Mayze Classic Women's SneakersPuma Black,https://us.puma.com/us/en/pd/mayze-classic-womens-sneakers/384209?swatch=02&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,384209_02
68,ULTRA ULTIMATE FG/AG Women's Soccer CleatsUltra Blue-PUMA White-Pro Green,https://us.puma.com/us/en/pd/ultra-ultimate-fg-ag-womens-soccer-cleats/107507?swatch=03&referrer-category=womens-shop-all-womens,2,220.00,220.00,Women,Puma,107507_03
69,Mayze Stack Injex Women's SandalsFrosted Ivory,https://us.puma.com/us/en/pd/mayze-stack-injex-womens-sandals/389454?swatch=05&referrer-category=womens-shop-all-womens,2,60.00,60.00,Women,Puma,389454_05
70,Velophasis Multi SneakersChocolate Chip-Flaxen,https://us.puma.com/us/en/pd/velophasis-multi-sneakers/393449?swatch=02&referrer-category=womens-shop-all-womens,1,120.00,120.00,Women,Puma,393449_02
71,Palermo SneakersCobalt Glaze-PUMA White,https://us.puma.com/us/en/pd/palermo-sneakers/396463?swatch=07&referrer-category=womens-shop-all-womens,5,90.00,90.00,Women,Puma,396463_07
72,Run XX NITRO™ 2 Women's Running ShoesKoral Ice-Speed Green,https://us.puma.com/us/en/pd/run-xx-nitro%E2%84%A2-2-womens-running-shoes/378482?swatch=02&referrer-category=womens-shop-all-womens,2,140.00,140.00,Women,Puma,378482_02
73,Clyde Tokyo SneakersSedate Gray-Pinktastic,https://us.puma.com/us/en/pd/clyde-tokyo-sneakers/393078?swatch=01&referrer-category=womens-shop-all-womens,1,110.00,110.00,Women,Puma,393078_01
74,SEASONS Voyage NITRO™ 3 Women's Running ShoesAlpine Snow-Ultra Blue-Yellow Burst,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=05&referrer-category=womens-shop-all-womens,5,140.00,140.00,Women,Puma,377746_05
75,ForeverRun NITRO™ Women's Running ShoesPUMA White-Cherry Tomato,https://us.puma.com/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/309758?swatch=01&referrer-category=womens-shop-all-womens,2,150.00,150.00,Women,Puma,309758_01
76,Blacktop Rider Women's SneakersPUMA White-Frosty Pink,https://us.puma.com/us/en/pd/blacktop-rider-womens-sneakers/395461?swatch=11&referrer-category=womens-shop-all-womens,1,90.00,90.00,Women,Puma,395461_11
77,Fuse 2.0 Women's Training ShoesPUMA Black-PUMA White-Dark Coal,https://us.puma.com/us/en/pd/fuse-2-0-womens-training-shoes/378823?swatch=01&referrer-category=womens-shop-all-womens,1,100.00,100.00,Women,Puma,378823_01
78,Clyde OG PUMA 75th Year Anniversary Celebration SneakersPersian Blue-Orange Brick,https://us.puma.com/us/en/pd/clyde-og-puma-75th-year-anniversary-celebration-sneakers/393326?swatch=01&referrer-category=womens-shop-all-womens,1,100.00,100.00,Women,Puma,393326_01
79,Velophasis Technisch Sneakers PUMA White-PUMA Black,https://us.puma.com/us/en/pd/velophasis-technisch-sneakers%C2%A0/390932?swatch=01&referrer-category=womens-shop-all-womens,3,120.00,120.00,Women,Puma,390932_01
80,Scuderia Ferrari Clyde Garage Crews SneakersRosso Corsa-Warm White,https://us.puma.com/us/en/pd/scuderia-ferrari-clyde-garage-crews-sneakers/307826?swatch=02&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,307826_02
81,Scuderia Ferrari Clyde Garage Crews SneakersPUMA Black-Warm White,https://us.puma.com/us/en/pd/scuderia-ferrari-clyde-garage-crews-sneakers/307826?swatch=01&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,307826_01
82,PWR NITRO™ Squared Women's Training ShoesPUMA White-Speed Green,https://us.puma.com/us/en/pd/pwr-nitro%E2%84%A2-squared-womens-training-shoes/378688?swatch=02&referrer-category=womens-shop-all-womens,3,120.00,120.00,Women,Puma,378688_02
83,Magnify NITRO™ 2 Women's Running ShoesPUMA Black-Koral Ice-Speed Green,https://us.puma.com/us/en/pd/magnify-nitro%E2%84%A2-2-womens-running-shoes/378906?swatch=01&referrer-category=womens-shop-all-womens,1,140.00,140.00,Women,Puma,378906_01
84,Clyde OG PUMA 75th Year Anniversary Celebration PRM SneakersSedate Gray-Sedate Gray,https://us.puma.com/us/en/pd/clyde-og-puma-75th-year-anniversary-celebration-prm-sneakers/393314?swatch=02&referrer-category=womens-shop-all-womens,1,100.00,100.00,Women,Puma,393314_02
85,Run XX NITRO™ 2 Women's Running ShoesPUMA Black-Koral Ice-Speed Green-PUMA Silver,https://us.puma.com/us/en/pd/run-xx-nitro%E2%84%A2-2-womens-running-shoes/378482?swatch=01&referrer-category=womens-shop-all-womens,2,140.00,140.00,Women,Puma,378482_01
86,Electrify NITRO™ 3 Women's Running ShoesPUMA Black-Peach Smoothie-Speed Green,https://us.puma.com/us/en/pd/electrify-nitro%E2%84%A2-3-womens-running-shoes/378456?swatch=03&referrer-category=womens-shop-all-womens,3,100.00,100.00,Women,Puma,378456_03
87,ForeverRun NITRO™ Women's Running ShoesCherry Tomato-PUMA Black,https://us.puma.com/us/en/pd/foreverrun-nitro%E2%84%A2-womens-running-shoes/309758?swatch=02&referrer-category=womens-shop-all-womens,2,150.00,150.00,Women,Puma,309758_02
88,Velophasis Phased Women's SneakersPUMA Black-Intense Lavender,https://us.puma.com/us/en/pd/velophasis-phased-womens-sneakers/394508?swatch=03&referrer-category=womens-shop-all-womens,1,120.00,120.00,Women,Puma,394508_03
89,Pulsar Wedge Deboss Women's SneakersPristine-Prairie Tan,https://us.puma.com/us/en/pd/pulsar-wedge-deboss-womens-sneakers/396449?swatch=01&referrer-category=womens-shop-all-womens,1,110.00,110.00,Women,Puma,396449_01
90,PWR NITRO™ Squared Women's Training ShoesPUMA Black-Bold Blue-Future Pink,https://us.puma.com/us/en/pd/pwr-nitro%E2%84%A2-squared-womens-training-shoes/378688?swatch=03&referrer-category=womens-shop-all-womens,3,120.00,120.00,Women,Puma,378688_03
91,CA Pro Women's SneakersPUMA White-Warm White,https://us.puma.com/us/en/pd/ca-pro-womens-sneakers/394749?swatch=01&referrer-category=womens-shop-all-womens,1,100.00,100.00,Women,Puma,394749_01
92,Palermo SneakersPelé Yellow-Club Red,https://us.puma.com/us/en/pd/palermo-sneakers/396463?swatch=01&referrer-category=womens-shop-all-womens,5,90.00,90.00,Women,Puma,396463_01
93,Dinara Women's BootsChocolate,https://us.puma.com/us/en/pd/dinara-womens-boots/394786?swatch=04&referrer-category=womens-shop-all-womens,2,100.00,100.00,Women,Puma,394786_04
94,PUMA x CIELE Deviate NITRO™ 2 Women's Running ShoesDusty Tan,https://us.puma.com/us/en/pd/puma-x-ciele-deviate-nitro%E2%84%A2-2-womens-running-shoes/378437?swatch=02&referrer-category=womens-shop-all-womens,2,160.00,160.00,Women,Puma,378437_02
95,PUMA x CIELE Deviate NITRO™ 2 Women's Running ShoesVibrant Red,https://us.puma.com/us/en/pd/puma-x-ciele-deviate-nitro%E2%84%A2-2-womens-running-shoes/378437?swatch=01&referrer-category=womens-shop-all-womens,2,160.00,160.00,Women,Puma,378437_01
96,Palermo SneakersClub Red-Club Navy,https://us.puma.com/us/en/pd/palermo-sneakers/396463?swatch=09&referrer-category=womens-shop-all-womens,5,90.00,90.00,Women,Puma,396463_09
97,PUMA-180 PRM Women's SneakersPUMA White-Icy Blue-Warm White,https://us.puma.com/us/en/pd/puma-180-prm-womens-sneakers/393764?swatch=03&referrer-category=womens-shop-all-womens,2,110.00,110.00,Women,Puma,393764_03
98,Magnify NITRO™ 2 Women's Running ShoesAsh Gray-PUMA White-Yellow Burst-Vivid Violet,https://us.puma.com/us/en/pd/magnify-nitro%E2%84%A2-2-womens-running-shoes/377540?swatch=05&referrer-category=womens-shop-all-womens,2,140.00,140.00,Women,Puma,377540_05
99,PUMA-180 PRM Women's SneakersFrosted Ivory-PUMA White,https://us.puma.com/us/en/pd/puma-180-prm-womens-sneakers/393764?swatch=02&referrer-category=womens-shop-all-womens,2,110.00,110.00,Women,Puma,393764_02
100,Deviate NITRO™ Elite 2 'Marathon Series' Women's Running ShoesPUMA Black-Strawberry Burst-Yellow Blaze,https://us.puma.com/us/en/pd/deviate-nitro%E2%84%A2-elite-2-marathon-series-womens-running-shoes/378454?swatch=01&referrer-category=womens-shop-all-womens,1,200.00,200.00,Women,Puma,378454_01
101,Fuse 2.0 Women's Training ShoesPUMA White-Fire Orchid-PUMA Black,https://us.puma.com/us/en/pd/fuse-2-0-womens-training-shoes/376169?swatch=10&referrer-category=womens-shop-all-womens,3,100.00,100.00,Women,Puma,376169_10
102,SEASONS Voyage NITRO™ 3 Women's Running ShoesPUMA Black-Cool Dark Gray-PUMA Silver,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=01&referrer-category=womens-shop-all-womens,5,140.00,140.00,Women,Puma,377746_01
103,PWRSPIN Indoor Cycling ShoesUltra Orange-PUMA Black,https://us.puma.com/us/en/pd/pwrspin-indoor-cycling-shoes/378096?swatch=02&referrer-category=womens-shop-all-womens,1,120.00,120.00,Women,Puma,378096_02
104,SEASONS Voyage NITRO™ 3 Women's Running ShoesCool Dark Gray-Koral Ice,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-womens-running-shoes/377746?swatch=03&referrer-category=womens-shop-all-womens,5,140.00,140.00,Women,Puma,377746_03
105,FUTURE ULTIMATE FG/AG Women's Soccer CleatsPersian Blue-PUMA White-Pro Green,https://us.puma.com/us/en/pd/future-ultimate-fg-ag-womens-soccer-cleats/107356?swatch=03&referrer-category=womens-shop-all-womens,1,220.00,220.00,Women,Puma,107356_03
106,PUMA x FIRST MILE Velocity NITRO™ 2 Women's Running ShoesWarm White-Bright Melon,https://us.puma.com/us/en/pd/puma-x-first-mile-velocity-nitro%E2%84%A2-2-womens-running-shoes/379114?swatch=01&referrer-category=womens-shop-all-womens,1,130.00,130.00,Women,Puma,379114_01
107,PWR XX NITRO™ Luxe Retro Glam Women's Training ShoesPUMA Black-Cool Dark Gray-PUMA Silver,https://us.puma.com/us/en/pd/pwr-xx-nitro%E2%84%A2-luxe-retro-glam-womens-training-shoes/378791?swatch=01&referrer-category=womens-shop-all-womens,1,110.00,110.00,Women,Puma,378791_01
108,Liberate NITRO™ 2 Women's Running ShoesIcy Blue-PUMA Silver-Regal Blue,https://us.puma.com/us/en/pd/liberate-nitro%E2%84%A2-2-womens-running-shoes/377316?swatch=07&referrer-category=womens-shop-all-womens,2,120.00,120.00,Women,Puma,377316_07
109,SEASONS Fast-Trac NITRO™ GORE-TEX® Women's Running ShoesPUMA Black-Fire Orchid,https://us.puma.com/us/en/pd/seasons-fast-trac-nitro%E2%84%A2-gore-tex%C2%AE-womens-running-shoes/377063?swatch=04&referrer-category=womens-shop-all-womens,1,140.00,140.00,Women,Puma,377063_04
110,SEASONS Explore NITRO™ Women's Hiking ShoesPUMA Black-Platinum Gray,https://us.puma.com/us/en/pd/seasons-explore-nitro%E2%84%A2-womens-hiking-shoes/377855?swatch=01&referrer-category=womens-shop-all-womens,3,110.00,110.00,Women,Puma,377855_01
111,SEASONS Voyage NITRO™ 3 GORE-TEX Women's Trail Running ShoesAstro Red-Fire Orchid-PUMA Black,https://us.puma.com/us/en/pd/seasons-voyage-nitro%E2%84%A2-3-gore-tex-womens-trail-running-shoes/377839?swatch=02&referrer-category=womens-shop-all-womens,1,160.00,160.00,Women,Puma,377839_02
112,Electrify NITRO™ 3 Women's Running ShoesFire Orchid-Ultra Blue,https://us.puma.com/us/en/pd/electrify-nitro%E2%84%A2-3-womens-running-shoes/378456?swatch=05&referrer-category=womens-shop-all-womens,3,100.00,100.00,Women,Puma,378456_05
113,Liberate NITRO™ 2 Women's Running ShoesFire Orchid-PUMA Silver-Icy Blue,https://us.puma.com/us/en/pd/liberate-nitro%E2%84%A2-2-womens-running-shoes/377316?swatch=09&referrer-category=womens-shop-all-womens,2,120.00,120.00,Women,Puma,377316_09
