,count_of_sizes,colors,product_code,star_rating,comfort,quality,n_reviews,size
21,13,"['Cloud White / Core Black / Grey Six', 'Cloud White / Core Black / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Copper Metallic / Core Black', 'Cloud White / Off White / Crystal White', 'Cloud White / Night Sky / Green', 'Magic Beige F22 / Magic Beige F22 / Cloud White', 'Cloud White / Magic Lime S22 / Cloud White', 'Cloud White / Wonder White F21 / Off White', 'Cloud White / Semi Lucid Blue S23 / Gold Metallic', 'Sand Strata / Wonder Taupe / Core Black', 'Cloud White / Wonder White F21 / Better Scarlet S23', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Core Black / Glow Blue / Off White', 'Core Black / Energy Ink / Silver Metallic', 'Cloud White / Orange / Royal Blue', 'Cloud White / Clear Pink / Semi Court Green', 'Off White / Core Black / Off White', 'Core Black / Off White / Magic Beige', 'Maroon / Wonder White / Maroon', 'Earth Strata / Wonder White / Earth Strata', 'Cloud White / Bright Red / Wonder Clay F23']",IF7615,4.7,80.167,86.5473,11277,55.7318
22,11,"['Supplier Colour / Cloud White / Supplier Colour', 'Maroon / Crystal White / Maroon', 'Cloud White / Semi Court Green / Cloud White', 'Cloud White / Clear Sky / Cloud White', 'Arctic Night / Cream White / Cloud White', 'Shadow Violet F23 / Crystal White / Shadow Violet F23', 'Silver Green S23 / Crystal White / Green Oxide S21']",IE7377,4.6,79.4118,92.6471,17,48.5294
23,15,"['Off White / Off White / Off White', 'Noble Purple / Black / Off White', 'Off White / Team Rave Green / Wonder Silver', 'Off White / Unity Ink / Lush Red']",FZ6396,4.2,79.4643,89.2857,28,58.9286
24,13,"['Core Black / Halo Silver S21 / Dgh Solid Grey', 'Sand Strata S23 / Silver Violet S23 / Acid Orange S21', 'Grey Five / Mint Ton / Core Black', 'Semi Flash Aqua / Core Black / Wonder Beige']",IF2403,4.3,75.4237,86.9703,236,52.8602
25,10,"['Supplier Colour / Cloud White / Supplier Colour', 'Maroon / Crystal White / Maroon', 'Cloud White / Semi Court Green / Cloud White', 'Cloud White / Clear Sky / Cloud White', 'Arctic Night / Cream White / Cloud White', 'Shadow Violet F23 / Crystal White / Shadow Violet F23', 'Silver Green S23 / Crystal White / Green Oxide S21']",IG2972,4.6,79.4118,92.6471,17,48.5294
26,18,"['Cloud White / Core Black / Collegiate Purple', 'Team Orange / Cloud White / Team Light Blue', 'Off White / Sesame / Off White', 'Core Black / Cloud White / Collegiate Purple']",IE7198,4.8,82.75,92.25,100,46.25
27,10,"['Core Black / Cloud White / Carbon', 'Wonder Blue F23 / Lucid Lemon F23 / Arctic Night F23', 'Core Black / Core Black / Cloud White', 'Crew Blue S21 / Cloud White / Dash Grey', 'Clear Pink / Cloud White / Core Black', 'Flash Aqua F23 / Cloud White / Silver Dawn S23', 'Core Black / Pink Fusion F23 / Grey Five']",IF7877,4.6,86.2534,87.938,371,49.0566
28,13,"['Core Black / Crystal White / Acid Mint', 'Hazy Emerald S21 / Hazy Emerald S21 / Sand', 'Wonder Taupe S23 / Grey One / Acid Orange S21', 'Wonder Taupe S23 / Grey One / Purple', 'Core Black / Crystal White / Acid Mint']",FX4453,4.4,76.8293,85.7143,42,48.7805
29,11,"['Charcoal S24 / Cloud White / Core White', 'Ivory S24 / Cloud White / Core White', 'Wonder White F21 / Cloud White / Core White', 'Clear Pink / Cloud White / Core White']",IG0344,5.0,90.625,100,8,53.125
30,13,"['Cloud White / Silver Metallic / Bright Cyan', 'Cloud White / Silver Metallic / Cloud White', 'Solar Gold / Cloud White / Lucid Lemon F23', 'Bright Royal / Cloud White / Royal Blue']",ID2080,4.3,85.8333,81.3187,91,50.2778
31,12,"['Preloved Yellow F23 / Wonder Silver F23 / Semi Flash Aqua F23', 'Core Black / Core Black / Grey Four']",IG2368,4.6,82.8125,85.9375,16,42.1875
32,13,"['Halo Blue / Blue Dawn / Solar Red', 'Carbon / Off White / Screaming Orange', 'Wonder Quartz / Bright Royal / Wonder Clay', 'Silver Dawn / Shadow Navy / Coral Fusion', 'Shadow Violet F23 / Silver Violet S23 / Carbon', 'Core Black / Core Black / Grey Six', 'Dash Grey / Cloud White / Silver Metallic', 'Cloud White / Grey Four / Better Scarlet S23', 'Grey Five / Grey Five / Bliss Lilac', 'Off White / Cloud White / Linen Green', 'Core White / Wonder Quartz / Bliss Orange']",ID9600,4.4,86.9427,88.8535,157,62.7389
33,14,"['Legend Ink / Gold Metallic / Wonder Blue', 'Core Black / Cloud White / Gold Metallic', 'Cloud White / Gold Metallic / Cloud White']",GZ2528,4.2,77.5,67.5,10,50
34,13,"['Cloud White / Better Scarlet / Gold Metallic', 'Cloud White / Cloud White / Gold Metallic', 'Cloud White / Cloud White / Ambient Blush', 'Cloud White / Wonder Mauve / Pink Tint', 'Off White / Rose Tone / Off White', 'Cloud White / Victory Crimson / Clear Pink', 'Cloud White / Clear Pink / Victory Crimson', 'Cloud White / Off White / Shock Purple', 'Cloud White / Supplier Colour / Victory Blue', 'Core White / Linen Green F22 / Silver Metallic', 'Off White / Wonder Beige / Silver Metallic', 'Core Black / Off White / Wonder White', 'Cloud White / Off White / Wonder White', 'Cloud White / Collegiate Navy / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Green / Cloud White']",IE4634,4.6,79.7695,85.992,3011,59.399
35,11,[['Semi Flash Aqua / Core Black / Wonder Beige']],IF2401,4.8,84.9315,90.0685,73,45.5479
36,13,"['Off White / Wonder Taupe / Pink Strata', 'Grey Two / Grey Three / Blue Dawn S23', 'Core Black / Grey Three / Grey Five', 'Core Black / Cloud White / Aluminium', 'Cloud White / Magic Beige F22 / Ecru Tint', 'Cloud White / Grey One / Silver Metallic', 'Sand / Chalky Brown S22 / Wonder White F21', 'Shadow Red / Super Pop / Beam Orange F22', 'Off White / Beam Orange / Super Pop']",HQ9115,4.2,76.2172,82.6779,267,56.7416
37,8,"['Supplier Colour / Cloud White / Supplier Colour', 'Maroon / Crystal White / Maroon', 'Cloud White / Semi Court Green / Cloud White', 'Cloud White / Clear Sky / Cloud White', 'Arctic Night / Cream White / Cloud White', 'Shadow Violet F23 / Crystal White / Shadow Violet F23', 'Silver Green S23 / Crystal White / Green Oxide S21']",IG2971,4.6,79.4118,92.6471,17,48.5294
38,9,"['Lucid Fuchsia / Blue Dawn / Cloud White', 'Cloud White / Core Black / Core Black']",HP6651,4.6,85.0446,88.6161,112,54.9107
39,5,"['Cloud White / Cloud White / Violet Fusion S23', 'Silver Dawn / Silver Dawn / Silver Violet', 'Core Black / Core Black / Beam Pink F22', 'Grey One / Grey Three / Cloud White', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Off White / Off White / Silver Metallic', 'Light Solid Grey / Silver Dawn / Solar Red', 'Cloud White / Zero Metalic / Lucid Pink', 'Arctic Night / Arctic Night / Lucid Pink', 'Silver Dawn / Silver Dawn / Almost Pink', 'Pink Fusion / Pink Fusion / Gold Metallic', 'Off White / Off White / Gold Metallic', 'Off White / Crew Blue / Bliss Lilac', 'Carbon / Carbon / Bright Red', 'Shadow Red / Shadow Red / Core Black', 'Magic Beige / Magic Beige / Off White', 'Wonder Beige / Wonder Beige / Wonder White', 'Cloud White / Cloud White / Silver Metallic', 'Wonder Beige / Wonder Taupe / Impact Orange', 'Grey Five / Grey Five / Pink Fusion', 'Off White / Off White / Wonder Quartz']",ID9676,4.6,84.3148,90.6852,467,50
40,14,"['Core Black / Cloud White / Team Shock Pink 2', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Team Solar Orange / Core Black / Core Black', 'Cloud White / Core Black / Lucid Lemon', 'Bright Royal / Cloud White / Bliss Blue']",GW4569,4.7,80.6391,85.7143,133,50.3759
41,13,"['Wonder Silver F23 / Semi Flash Aqua F23 / Lucid Lemon F23', 'Core Black / Grey Six / Semi Impact Orange']",ID6715,4.0,85.7143,82.1429,7,53.5714
42,9,"['Off White / Wonder Taupe / Pink Strata', 'Grey Two / Grey Three / Blue Dawn S23', 'Core Black / Grey Three / Grey Five', 'Core Black / Cloud White / Aluminium', 'Cloud White / Magic Beige F22 / Ecru Tint', 'Cloud White / Grey One / Silver Metallic', 'Sand / Chalky Brown S22 / Wonder White F21', 'Shadow Red / Super Pop / Beam Orange F22', 'Off White / Beam Orange / Super Pop']",GZ2133,4.2,76.2172,82.6779,267,56.7416
43,10,"['Sand Strata S23 / Sand Strata S23 / Sand Strata S23', 'Olive Strata / Olive Strata / Olive Strata', 'Carbon / Carbon / Core Black']",HQ9918,4.1,70.0172,79.811,291,68.9003
44,8,"['Bliss Lilac F22 / Beam Orange F22 / Pulse Magenta F22', 'Core Black / Core Black / Grey Six', 'Wonder Steel F22 / Grey Three / Purple', 'Trace Grey / Crystal White / Impact Orange F22', 'Core Black / Core Black / Grey Six', 'Wonder Taupe S23 / Taupe Met. S23 / Impact Orange F22', 'Acid Orange S21 / Sand Strata S23 / Silver Violet S23', 'Silver Dawn S23 / Blue Dawn S23 / Silver Violet S23', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23']",GV8920,4.5,82.5,88.5,50,46
45,6,"['Team Colleg Gold 2 / Team Colleg Gold 2 / Team Maroon 2', 'Cloud White / Cloud White / Collegiate Navy', 'Core Black / Core Black / Team Colleg Gold 2', 'Off White / Team Victory Red / Cloud White', 'Cloud White / Cloud White / Collegiate Royal', 'Cloud White / Cloud White / Team Power Red 2', 'Core Black / Collegiate Green / Team Orange', 'Cloud White / Cloud White / Team Power Red 2', 'Team Power Red 2 / Team Power Red 2 / Core Black', 'Cloud White / Cloud White / Team Power Red 2', 'Core Black / Core Black / Team Power Red 2', 'Cloud White / Cloud White / Team Maroon 2', 'Core Black / Carbon / Grey Six', 'Halo Silver S21 / Preloved Yellow F23 / Royal Blue', 'Core Black / Better Scarlet S23 / Royal Blue', 'Core Black / Core Black / Lucid Lemon', 'Core Black / Core Black / Team College Purple']",IG5876,4.8,90.8304,93.7716,289,51.6436
46,6,"['Silver Violet S23 / Cloud White / Silver Dawn S23', 'Core Black / Cloud White / Carbon', 'Arctic Night F23 / Lucid Lemon F23 / Carbon', 'Cloud White / Silver Metallic / Grey Five', 'Royal Blue / Zero Metalic / Lucid Lemon F23']",IF8170,5.0,92.8571,96.4286,7,53.5714
47,4,"['Bold Green / Signal Orange / Vivid Berry', 'Bahia Magenta / Bahia Magenta / Collegiate Green', 'Royal Blue / Cloud White / Royal Blue', 'Core Black / Cloud White / Core Black', 'Mystery Blue / Hi-Res Yellow / Mystery Blue', 'Vision Met. / Vision Met. / Grey Two', 'Core Black / Grey Six / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Gold Metallic / Core Black', 'Core Black / Core Black / Beam Pink F22', 'Cloud White / Cloud White / Matte Gold', 'Grey Two / Silver Metallic / Grey Two', 'Sand Strata / Purple / Sand Strata', 'Ecru Tint / Coral Fusion / Ecru Tint', 'Night Indigo / Cloud White / Night Indigo']",GX9835,4.7,90.9121,90.7002,6105,54.7288
48,13,"['Cloud White / Cloud White / Grey Five', 'Core Black / Cloud White / Carbon']",IG0310,4.6,84.6154,87.3077,65,50.7692
49,13,"['Grey Six / Silver Metallic / Better Scarlet', 'Solar Orange / Taupe Met. S23 / Ecru Tint', 'Crystal White / Impact Orange F22 / Semi Pulse Lilac F22']",HQ8392,3.7,63.189,71.4567,127,49.6063
50,10,"['Bliss Lilac F22 / Beam Orange F22 / Pulse Magenta F22', 'Core Black / Core Black / Grey Six', 'Wonder Steel F22 / Grey Three / Purple', 'Trace Grey / Crystal White / Impact Orange F22', 'Core Black / Core Black / Grey Six', 'Wonder Taupe S23 / Taupe Met. S23 / Impact Orange F22', 'Acid Orange S21 / Sand Strata S23 / Silver Violet S23', 'Silver Dawn S23 / Blue Dawn S23 / Silver Violet S23', 'Wonder Silver F23 / Wonder Silver F23 / Lucid Lemon F23']",HP7496,4.5,82.5,88.5,50,46
51,11,"['Off White / Wonder Taupe / Pink Strata', 'Grey Two / Grey Three / Blue Dawn S23', 'Core Black / Grey Three / Grey Five', 'Core Black / Cloud White / Aluminium', 'Cloud White / Magic Beige F22 / Ecru Tint', 'Cloud White / Grey One / Silver Metallic', 'Sand / Chalky Brown S22 / Wonder White F21', 'Shadow Red / Super Pop / Beam Orange F22', 'Off White / Beam Orange / Super Pop']",GY4189,4.2,76.2172,82.6779,267,56.7416
52,11,"['Core Black / Grey Three / Mint Ton', 'Semi Flash Aqua F23 / Core Black / Preloved Yellow F23']",HQ1049,4.4,79.6089,87.6389,180,46.7877
53,13,"['Grey Five / Grey Four / Bliss Lilac', 'Core Black / Carbon / Iron Metallic', 'Cloud White / Crystal White / Zero Metalic', 'Off White / Wonder Beige / Off White', 'Grey One / Grey Three / Cloud White', 'Aluminium / Wonder Quartz / Wonder Beige']",IF6603,4.6,85.4478,90.4851,134,49.0672
54,11,"['Pulse Mint / Zero Metalic / Lucid Fuchsia', 'Grey One / Silver Metallic / Silver Dawn', 'Core Black / Cloud White / Carbon', 'Cloud White / Core Black / Arctic Fusion', 'Wonder Blue / Lucid Lemon / Arctic Night', 'Silver Violet / Zero Metalic / Silver Dawn', 'Light Aqua / Carbon / Solar Red', 'Chalk White / Silver Metallic / Wonder Blue']",ID6946,4.6,83.8608,91.2975,158,47.6266
55,18,"['Cream White / Dark Brown / Sand Strata', 'Grey Four / Better Scarlet S23 / Core Black', 'Core Black / Cloud White / Collegiate Gold', 'Grey Three / Core Black / Grey Five', 'Core Black / Core Black / Bliss', 'Feather Grey / Feather Grey / Acid Orange S21', 'Cloud White / Solar Yellow / Cloud White', 'Metal Grey / Feather Grey / Sand', 'Grey Three / Grey Three / Grey Five', 'Cloud White / Cloud White / Grey One', 'Cloud White / Cloud White / Vivid Red S21', 'Trace Grey / Cloud White / Core Black', 'Magic Lime S22 / Cloud White / Core Black', 'Red / Royal Blue / Off White', 'Vivid Red S21 / Cloud White / Gum', 'Legend Ink / Cloud White / Gum', 'Better Scarlet / Team Victory Red / Core Black', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Core Black / Gum', 'Core Black / Cloud White / Grey Five', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Cloud White / Gum', 'Cloud White / Core Black / Grey Three', 'Mineral Green / Mineral Green / Cloud White', 'Collegiate Gold / Impact Yellow F22 / Core Black', 'Shadow Navy / Cloud White / Collegiate Burgundy', 'Shadow Navy / White Tint / Glory Red', 'White Tint / Glory Red / Semi Lucid Blue', 'Core Black / Semi Lucid Blue / Glory Red', 'Core Black / Active Teal / Cloud White', 'Shadow Navy / Grey Two / Core Black', 'Cloud White / Solar Orange / Core Black', 'Cloud White / Off White / Solar Red', 'Cloud White / Semi Lucid Blue / Core Black', 'Core Black / Semi Lucid Blue S23 / Cloud White', 'Crystal White / Cloud White / Better Scarlet', 'Cloud White / Core Black / Bright Red', 'Core Black / Royal Blue / Cloud White', 'Grey Three / Core Black / Cloud White', 'Core Black / Core Black / Cloud White', 'Focus Olive / Core Black / Shadow Olive', 'Core Black / Carbon / Grey Five']",GZ9257,4.6,83.0504,86.2443,5485,52.1176
