,ShoeName,Category,no_colors,price_reduce,price,product_code
130,Nike Invincible 3 By You,Women,6.0,210.0,210.0,DX5051-400
131,Nike Free Run 2018,Women,3.0,101.97,120.0,942839-600
132,KD16,Women,6.0,127.97,150.0,DV2917-401
133,Nike Cortez Platform Unlocked By You Greatest Gift,Women,3.0,130.0,130.0,FQ7223-900
134,Nike Court Vintage Premium,Women,1.0,80.0,80.0,CW7586-100
135,Nike Shox TL,Women,2.0,170.0,170.0,
136,Nike Air Max Bliss SE,Women,6.0,82.97,140.0,FB9752-100
137,Nike Air Force 1 Low By You,Women,12.0,135.0,135.0,DV3907-900
138,Nike City Classic,Women,3.0,106.97,125.0,DQ5601-003
139,Nike Air Max 1 '87 By You,Women,7.0,180.0,180.0,FJ8893-900
140,Nike Hyperdiamond 4 Pro,Women,9.0,80.0,80.0,CZ5920-400
141,Nike Blazer Low '77 Jumbo,Women,4.0,100.0,100.0,DQ1470-002
142,Nike Dunk Low Unlocked By You,Women,7.0,160.0,160.0,FJ2253-901
143,Jumpman Two Trey,Women,7.0,131.97,155.0,DR9631-801
144,Nike Air Max 1 '87 Premium,Women,1.0,160.0,160.0,
145,NikeCourt Air Zoom NXT,Women,4.0,140.0,140.0,DV3282-103
146,Nike Elevate 2,Women,1.0,40.97,80.0,CW3406-004
147,Air Jordan 1 Low FlyEase,Women,1.0,84.97,130.0,DM1206-174
148,Nike Rival Sprint,Women,4.0,75.0,75.0,DC8753-100
149,Nike Air Max 95 By You,Women,8.0,190.0,190.0,314352-998
150,Nike Air Zoom Victory,Women,5.0,190.0,190.0,CD4385-400
151,Nike Internationalist By You,Women,7.0,110.0,110.0,CW7637-991
152,Nike Air Max Thea,Women,1.0,72.97,120.0,FJ9302-104
153,Converse x TURBODRK Chuck 70 Laceless,Women,1.0,170.0,170.0,A03938C-206
154,Nike Go FlyEase,Women,2.0,125.0,125.0,DR5540-102
155,Nike Air Huarache By You,Women,7.0,130.0,130.0,FD9782-900
156,Nike Air Max Bella TR 5,Women,7.0,90.0,90.0,DD9285-400
157,Nike Air Force 1 '07 LX,Women,11.0,72.97,120.0,DO9456-100
158,KD Trey 5 IX,Women,1.0,95.0,95.0,CW3400-001
159,Nike Blazer Mid Premium,Women,4.0,87.97,125.0,DQ7572-200
160,Nike Air Force 1 '07,Women,1.0,106.97,125.0,FQ8887-100
161,Nike G.T. Hustle 2,Women,5.0,127.97,170.0,DJ9405-302
162,Nike Blazer Low '77 By You,Women,6.0,115.0,115.0,DZ2653-900
163,Nike Air Presto,Women,2.0,99.97,130.0,DV2228-300
164,Nike Icon Classic,Women,3.0,55.97,65.0,DH0224-200
165,Nike Metcon 8,Women,4.0,110.97,130.0,DO9327-102
166,Nike Offcourt,Women,1.0,34.97,40.0,BQ4632-002
167,Nike Pegasus 40 By You,Women,14.0,160.0,160.0,FB2383-900
168,Nike Air Huarache Craft By You,Women,6.0,160.0,160.0,FB2391-900
169,NikeCourt Air Zoom Pro,Women,5.0,85.97,100.0,DV3285-300
170,Nike Tanjun,Women,3.0,59.97,70.0,DJ6257-004
171,Run Star Hike Platform,Women,2.0,105.0,105.0,168817C-102
