,ShoeName,Category,no_colors,price_reduce,price,Brand,product_code,URL
75,Air Jordan 1 Mid SE,Women,6,81.97,135.0,Nike,DV1302-100,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/DV1302-100
76,Air Jordan 1 Low SE,Women,1,125.0,125.0,Nike,FV3623-151,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-SW3r5H/FV3623-151
77,Nike Dunk High 1985,Women,2,77.97,140.0,Nike,DV1143-800,https://www.nike.com/t/dunk-high-1985-shoes-L05QbB/DV1143-800
78,Nike Free Metcon 4,Women,3,120.0,120.0,Nike,CZ0596-010,https://www.nike.com/t/free-metcon-4-womens-workout-shoes-pxHVt9/CZ0596-010
79,Nike Revolution 6,Women,2,46.97,70.0,Nike,DC3729-003,https://www.nike.com/t/revolution-6-womens-road-running-shoes-6QLh9B/DC3729-003
80,Nike Waffle Debut Vintage,Women,4,64.97,80.0,Nike,DX2931-400,https://www.nike.com/t/waffle-debut-vintage-womens-shoes-rfRkv2/DX2931-400
81,Air Jordan 1 Zoom CMFT 2,Women,5,127.97,150.0,Nike,DV1305-001,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-womens-shoes-DdXxlf/DV1305-001
82,Air Jordan 1 Mid,Women,2,106.97,125.0,Nike,DQ8426-106,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-tXSJ73/DQ8426-106
83,Nike Air Force 1 High,Women,3,62.97,125.0,Nike,DZ7338-001,https://www.nike.com/t/air-force-1-high-womens-shoes-vBhHD4/DZ7338-001
84,Nike Air Force 1 PLT.AF.ORM,Women,8,120.0,120.0,Nike,DJ9946-100,https://www.nike.com/t/air-force-1-pltaform-womens-shoes-XL2m2Q/DJ9946-100
85,Nike Revolution 5,Women,1,60.0,60.0,Nike,BQ3207-002,https://www.nike.com/t/revolution-5-womens-road-running-shoes-hC41Vf/BQ3207-002
86,Nike Free RN 2018,Women,3,70.97,100.0,Nike,942837-001,https://www.nike.com/t/free-rn-2018-womens-running-shoes-zE8Je3/942837-001
87,Air Jordan 1 Mid,Women,1,125.0,125.0,Nike,DV0991-101,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-BVgBmq/DV0991-101
88,Nike Court Royale 2,Women,1,51.97,60.0,Nike,DH3159-100,https://www.nike.com/t/court-royale-2-womens-shoe-pgRlMB/DH3159-100
89,Air Jordan 1 Mid SE,Women,2,135.0,135.0,Nike,FB9892-670,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-0k55l8/FB9892-670
90,Nike Calm,Women,2,60.0,60.0,Nike,FD5130-200,https://www.nike.com/t/calm-mens-mules-m5tTKn/FD5130-200
91,Air Jordan 1 Low,Women,3,115.0,115.0,Nike,553558-136,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-136
92,Air Jordan 1 Mid,Women,3,125.0,125.0,Nike,554724-136,https://www.nike.com/t/air-jordan-1-mid-shoes-X5pM09/554724-136
93,"Air Jordan 1 High OG ""Mauve""",Women,1,180.0,180.0,Nike,DZ5485-105,https://www.nike.com/t/air-jordan-1-high-og-mauve-mens-shoes-JHpxkn/DZ5485-105
94,Air Jordan 1 Low SE Craft,Women,1,125.0,125.0,Nike,FD6819-300,https://www.nike.com/t/air-jordan-1-low-se-craft-mens-shoes-W9Kpp9/FD6819-300
95,Air Jordan XXXVII Low,Women,3,96.97,175.0,Nike,DQ4122-100,https://www.nike.com/t/air-jordan-xxxvii-low-basketball-shoes-00ZHpg/DQ4122-100
96,LeBron Witness 6,Women,8,73.97,105.0,Nike,CZ4052-101,https://www.nike.com/t/lebron-witness-6-basketball-shoes-HXbMw7/CZ4052-101
97,Air Jordan 1 Zoom CMFT 2,Women,7,90.97,150.0,Nike,DV1307-100,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-100
98,Air Jordan 1 Mid SE,Women,1,87.97,135.0,Nike,DX4332-800,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-vw6Hxn/DX4332-800
99,Nike Celso Girl,Women,1,19.97,26.0,Nike,314870-011,https://www.nike.com/t/celso-girl-womens-slides-9AwYMr/314870-011
100,Air Jordan 1 Retro High OG,Women,1,180.0,180.0,Nike,FN6622-201,https://www.nike.com/t/air-jordan-1-retro-high-og-womens-shoes-SsFGW3/FN6622-201
101,"Air Jordan 13 ""Wheat""",Women,1,200.0,200.0,Nike,414571-171,https://www.nike.com/t/air-jordan-13-wheat-mens-shoes-zp4pp0/414571-171
102,"Air Jordan 8 ""Winterized""",Women,1,210.0,210.0,Nike,FD1334-001,https://www.nike.com/t/air-jordan-8-winterized-mens-shoes-HBQzn3/FD1334-001
103,Air Jordan 1 Element,Women,2,170.97,200.0,Nike,DB2889-501,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-501
104,"Air Jordan 3 ""Fear""",Women,2,210.0,210.0,Nike,CT8532-080,https://www.nike.com/t/air-jordan-3-fear-mens-shoes-5M3ZlK/CT8532-080
105,Dunk High Warped Unlocked By You Greatest Gift,Women,1,165.0,165.0,Nike,FZ4653-900,https://www.nike.com/u/custom-dunk-high-unlocked-warped-by-you-10001728/9866555322
106,"Air Jordan 1 High OG ""Royal Reimagined""",Women,1,180.0,180.0,Nike,DZ5485-042,https://www.nike.com/t/air-jordan-1-high-og-royal-reimagined-mens-shoes-gX9FS0/DZ5485-042
107,"Tatum 1 ""Wave Runner""",Women,2,120.0,120.0,Nike,FV0169-400,https://www.nike.com/t/tatum-1-wave-runner-basketball-shoes-98vPwk/FV0169-400
108,"Jordan Why Not .6 ""Childhood""",Women,3,105.97,150.0,Nike,DO7189-100,https://www.nike.com/t/jordan-why-not-6-childhood-basketball-shoes-T5Gl76/DO7189-100
109,"Air Jordan 1 Low OG ""White/Red""",Women,1,140.0,140.0,Nike,CZ0790-161,https://www.nike.com/t/air-jordan-1-low-og-white-red-mens-shoes-v0FbJt/CZ0790-161
110,"Sabrina 1 ""Grounded""",Women,5,110.97,130.0,Nike,FQ3381-002,https://www.nike.com/t/sabrina-1-grounded-basketball-shoes-f8jr2H/FQ3381-002
111,"Luka 2 ""Trick Shot""",Women,3,130.0,130.0,Nike,DX8733-103,https://www.nike.com/t/luka-2-trick-shot-basketball-shoes-vcXFrk/DX8733-103
112,LeBron Witness 7,Women,6,64.97,105.0,Nike,DM1123-100,https://www.nike.com/t/lebron-witness-7-basketball-shoes-43zKtc/DM1123-100
113,Giannis Immortality 2,Women,8,72.97,85.0,Nike,DM0825-101,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-101
114,"LeBron XXI ""Tahitian""",Women,4,150.97,200.0,Nike,FB2238-001,https://www.nike.com/t/lebron-xxi-tahitian-basketball-shoes-lnQSsH/FB2238-001
115,LeBron NXXT Gen,Women,9,127.97,170.0,Nike,DR8784-301,https://www.nike.com/t/lebron-nxxt-gen-basketball-shoes-55g4w1/DR8784-301
116,"Ja 1 ""Fly""",Women,5,102.97,120.0,Nike,DR8785-002,https://www.nike.com/t/ja-1-fly-basketball-shoes-bCx2W3/DR8785-002
117,Nike SB React Leo,Women,4,95.0,95.0,Nike,DX4361-001,https://www.nike.com/t/sb-react-leo-skate-shoes-fWzQ6w/DX4361-001
118,Nike SB Zoom Janoski OG+,Women,3,95.0,95.0,Nike,DV5475-300,https://www.nike.com/t/sb-zoom-janoski-og-shoes-p7gRgw/DV5475-300
119,Nike Zoom Superfly Elite 2,Women,2,160.0,160.0,Nike,CD4382-400,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-Lj6WXS/CD4382-400
120,Nike Air Max 95 Unlocked By You,Women,6,215.0,215.0,Nike,DX5388-900,https://www.nike.com/u/custom-nike-air-max-95-unlocked-by-you-10001344/2490770982
121,Nike Ultrafly,Women,2,260.0,260.0,Nike,DZ0489-101,https://www.nike.com/t/ultrafly-womens-trail-running-shoes-tCnn3F/DZ0489-101
122,Nike Zoom Superfly Elite 2,Women,1,160.0,160.0,Nike,CD4382-600,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-dqWkz6/CD4382-600
123,Nike Elevate 3,Women,6,63.97,85.0,Nike,DD9304-602,https://www.nike.com/t/elevate-3-basketball-shoes-BQ8xtz/DD9304-602
124,Nike P-6000 Premium,Women,3,90.97,120.0,Nike,FQ8732-010,https://www.nike.com/t/p-6000-premium-mens-shoes-XkgpKW/FQ8732-010
125,Nike Renew Elevate 3,Women,2,80.0,80.0,Nike,FQ8971-600,https://www.nike.com/t/renew-elevate-3-womens-basketball-shoes-VGFNfC/FQ8971-600
